layer_name,channel_index,channel_id,mean_relative_change
layer3.5.conv3.weight,666,layer3.5.conv3.weight_ch666,1038.7413330078125
layer2.1.conv3.weight,172,layer2.1.conv3.weight_ch172,646.6709594726562
layer4.0.conv3.weight,1771,layer4.0.conv3.weight_ch1771,483.3970031738281
layer4.1.conv1.weight,460,layer4.1.conv1.weight_ch460,434.10693359375
layer3.0.conv3.weight,226,layer3.0.conv3.weight_ch226,380.50323486328125
layer3.2.conv3.weight,366,layer3.2.conv3.weight_ch366,329.49176025390625
layer4.0.conv3.weight,1084,layer4.0.conv3.weight_ch1084,229.8480682373047
layer3.2.conv1.weight,187,layer3.2.conv1.weight_ch187,222.9998779296875
layer3.1.conv3.weight,376,layer3.1.conv3.weight_ch376,217.3839111328125
layer3.1.conv3.weight,32,layer3.1.conv3.weight_ch32,192.64122009277344
layer3.3.conv3.weight,909,layer3.3.conv3.weight_ch909,191.34722900390625
layer4.0.conv3.weight,1256,layer4.0.conv3.weight_ch1256,170.19805908203125
layer2.1.conv3.weight,496,layer2.1.conv3.weight_ch496,164.93199157714844
layer3.0.conv3.weight,501,layer3.0.conv3.weight_ch501,138.05093383789062
layer1.2.conv3.weight,47,layer1.2.conv3.weight_ch47,128.24197387695312
layer3.5.conv3.weight,359,layer3.5.conv3.weight_ch359,123.9289779663086
layer3.1.conv3.weight,577,layer3.1.conv3.weight_ch577,123.74146270751953
layer3.1.conv3.weight,877,layer3.1.conv3.weight_ch877,116.37627410888672
layer3.3.conv3.weight,142,layer3.3.conv3.weight_ch142,111.00386810302734
layer3.1.conv3.weight,187,layer3.1.conv3.weight_ch187,108.16830444335938
layer4.0.conv3.weight,0,layer4.0.conv3.weight_ch0,101.9716567993164
layer3.3.conv3.weight,1017,layer3.3.conv3.weight_ch1017,101.9368667602539
layer2.3.conv2.weight,102,layer2.3.conv2.weight_ch102,101.31001281738281
layer3.2.conv3.weight,601,layer3.2.conv3.weight_ch601,97.02430725097656
layer2.0.conv1.weight,92,layer2.0.conv1.weight_ch92,91.03584289550781
layer4.1.conv1.weight,489,layer4.1.conv1.weight_ch489,91.03096771240234
layer3.2.conv2.weight,172,layer3.2.conv2.weight_ch172,89.93421936035156
layer2.0.conv2.weight,113,layer2.0.conv2.weight_ch113,89.11123657226562
layer3.0.conv3.weight,1016,layer3.0.conv3.weight_ch1016,88.97864532470703
layer3.0.conv2.weight,129,layer3.0.conv2.weight_ch129,75.26587677001953
layer4.0.conv3.weight,150,layer4.0.conv3.weight_ch150,65.6866455078125
layer4.0.conv3.weight,1462,layer4.0.conv3.weight_ch1462,65.37284088134766
layer3.3.conv3.weight,576,layer3.3.conv3.weight_ch576,64.7354507446289
layer3.2.conv1.weight,240,layer3.2.conv1.weight_ch240,63.41151809692383
layer3.2.conv3.weight,106,layer3.2.conv3.weight_ch106,61.540035247802734
layer2.1.conv3.weight,147,layer2.1.conv3.weight_ch147,57.40419387817383
layer2.0.conv1.weight,34,layer2.0.conv1.weight_ch34,54.03456115722656
layer4.1.conv1.weight,24,layer4.1.conv1.weight_ch24,52.482948303222656
layer4.1.conv1.weight,213,layer4.1.conv1.weight_ch213,52.350215911865234
layer3.3.conv3.weight,70,layer3.3.conv3.weight_ch70,50.811012268066406
layer4.0.conv3.weight,1055,layer4.0.conv3.weight_ch1055,49.41977310180664
layer4.0.conv3.weight,1281,layer4.0.conv3.weight_ch1281,49.058937072753906
layer3.5.conv3.weight,935,layer3.5.conv3.weight_ch935,47.69671630859375
layer3.2.conv3.weight,254,layer3.2.conv3.weight_ch254,46.63300704956055
layer3.2.conv1.weight,68,layer3.2.conv1.weight_ch68,46.20426940917969
layer4.0.conv3.weight,1071,layer4.0.conv3.weight_ch1071,45.36448287963867
layer3.2.conv2.weight,131,layer3.2.conv2.weight_ch131,44.65426254272461
layer3.5.conv3.weight,653,layer3.5.conv3.weight_ch653,43.42964553833008
layer4.0.conv3.weight,91,layer4.0.conv3.weight_ch91,43.41365432739258
layer3.3.conv3.weight,367,layer3.3.conv3.weight_ch367,43.119441986083984
layer4.0.conv3.weight,49,layer4.0.conv3.weight_ch49,42.03013610839844
layer4.0.conv3.weight,523,layer4.0.conv3.weight_ch523,41.517826080322266
layer2.0.conv2.weight,6,layer2.0.conv2.weight_ch6,40.92646026611328
layer3.0.conv3.weight,628,layer3.0.conv3.weight_ch628,40.6795654296875
layer4.0.conv3.weight,1917,layer4.0.conv3.weight_ch1917,39.68819808959961
layer4.0.conv3.weight,1741,layer4.0.conv3.weight_ch1741,39.52760314941406
layer3.2.conv1.weight,179,layer3.2.conv1.weight_ch179,39.174659729003906
layer2.1.conv3.weight,250,layer2.1.conv3.weight_ch250,38.89136505126953
layer3.1.conv3.weight,328,layer3.1.conv3.weight_ch328,37.246253967285156
layer3.3.conv3.weight,628,layer3.3.conv3.weight_ch628,36.67424392700195
layer3.2.conv3.weight,668,layer3.2.conv3.weight_ch668,36.663204193115234
layer3.1.conv3.weight,44,layer3.1.conv3.weight_ch44,36.58465576171875
layer3.1.conv3.weight,501,layer3.1.conv3.weight_ch501,34.649513244628906
layer3.3.conv3.weight,566,layer3.3.conv3.weight_ch566,34.594486236572266
layer3.2.conv3.weight,834,layer3.2.conv3.weight_ch834,34.51396179199219
layer4.0.conv3.weight,836,layer4.0.conv3.weight_ch836,34.48493576049805
layer3.0.conv3.weight,803,layer3.0.conv3.weight_ch803,34.293880462646484
layer4.0.conv3.weight,813,layer4.0.conv3.weight_ch813,34.02531814575195
layer4.0.conv3.weight,1387,layer4.0.conv3.weight_ch1387,33.41299819946289
layer3.3.conv3.weight,844,layer3.3.conv3.weight_ch844,33.360191345214844
layer3.0.conv3.weight,1005,layer3.0.conv3.weight_ch1005,33.126243591308594
layer3.3.conv3.weight,253,layer3.3.conv3.weight_ch253,33.02886199951172
layer4.0.conv3.weight,1924,layer4.0.conv3.weight_ch1924,32.90278244018555
layer1.2.conv3.weight,184,layer1.2.conv3.weight_ch184,32.686058044433594
layer3.2.conv3.weight,164,layer3.2.conv3.weight_ch164,32.63787841796875
layer3.0.conv3.weight,708,layer3.0.conv3.weight_ch708,29.71661949157715
layer1.2.conv3.weight,247,layer1.2.conv3.weight_ch247,29.65949249267578
layer4.0.conv3.weight,578,layer4.0.conv3.weight_ch578,29.5661563873291
