channel_id,weight_index,weight_id,relative_change
layer4.1.conv1.weight_ch460,2039,layer4.1.conv1.weight_ch460_w2039,884348.75
layer3.5.conv3.weight_ch666,93,layer3.5.conv3.weight_ch666_w93,265495.625
layer4.0.conv3.weight_ch1771,351,layer4.0.conv3.weight_ch1771_w351,246718.421875
layer3.2.conv1.weight_ch187,667,layer3.2.conv1.weight_ch187_w667,226257.796875
layer4.0.conv3.weight_ch1084,75,layer4.0.conv3.weight_ch1084_w75,117191.7109375
layer3.0.conv3.weight_ch226,12,layer3.0.conv3.weight_ch226_w12,97208.9609375
layer4.0.conv3.weight_ch1256,77,layer4.0.conv3.weight_ch1256_w77,85165.6015625
layer3.2.conv3.weight_ch366,187,layer3.2.conv3.weight_ch366_w187,83718.96875
layer2.1.conv3.weight_ch172,34,layer2.1.conv3.weight_ch172_w34,82640.9375
layer3.1.conv3.weight_ch376,173,layer3.1.conv3.weight_ch376_w173,55373.33984375
layer3.3.conv3.weight_ch909,200,layer3.3.conv3.weight_ch909_w200,48663.96484375
layer3.0.conv3.weight_ch501,115,layer3.0.conv3.weight_ch501_w115,34947.78515625
layer3.1.conv3.weight_ch577,63,layer3.1.conv3.weight_ch577_w63,31313.568359375
layer3.5.conv3.weight_ch359,152,layer3.5.conv3.weight_ch359_w152,29862.15234375
layer3.1.conv3.weight_ch32,88,layer3.1.conv3.weight_ch32_w88,29759.412109375
layer3.1.conv3.weight_ch877,64,layer3.1.conv3.weight_ch877_w64,29551.59375
layer3.3.conv3.weight_ch142,211,layer3.3.conv3.weight_ch142_w211,28080.904296875
layer3.1.conv3.weight_ch187,180,layer3.1.conv3.weight_ch187_w180,27240.9296875
layer2.1.conv3.weight_ch496,46,layer2.1.conv3.weight_ch496_w46,20503.734375
layer3.1.conv3.weight_ch32,147,layer3.1.conv3.weight_ch32_w147,15604.05859375
layer1.2.conv3.weight_ch47,26,layer1.2.conv3.weight_ch47_w26,8120.169921875
layer3.1.conv3.weight_ch32,56,layer3.1.conv3.weight_ch32_w56,3682.3779296875
