layer_name,channel_index,weight_index,weight_id,baseline_value,unlearned_value,absolute_change,relative_change,rank_in_channel,channel_total_change
layer4.1.conv2.weight,254,1888,layer4.1.conv2.weight_ch254_w1888,-1.4116467994540471e-08,0.013788348063826561,0.01378836203366518,976757.25,1,215.2359619140625
layer4.1.conv2.weight,340,3480,layer4.1.conv2.weight_ch340_w3480,1.349256351090844e-08,-0.009320924058556557,0.009320937097072601,690820.3125,1,152.52088928222656
layer3.0.conv2.weight,133,2033,layer3.0.conv2.weight_ch133_w2033,6.260822971171365e-08,0.0348852276802063,0.034885164350271225,557197.75,1,246.0330352783203
layer4.1.conv2.weight,129,4207,layer4.1.conv2.weight_ch129_w4207,-2.027334744525433e-08,-0.01126099657267332,0.01126097608357668,555457.1875,1,123.33079528808594
layer3.4.conv2.weight,115,1931,layer3.4.conv2.weight_ch115_w1931,2.2171107616486552e-08,-0.011345631442964077,0.011345653794705868,511731.46875,1,223.83628845214844
layer3.0.conv2.weight,48,83,layer3.0.conv2.weight_ch48_w83,-2.126772180588432e-08,-0.00978404376655817,0.009784022346138954,460040.9375,1,203.04742431640625
layer2.3.conv2.weight,95,909,layer2.3.conv2.weight_ch95_w909,-5.866618124628076e-08,-0.02435949444770813,0.024359436705708504,415221.09375,1,362.0520935058594
layer4.0.conv2.weight,418,4085,layer4.0.conv2.weight_ch418_w4085,3.958387040370326e-08,0.016177356243133545,0.01617731712758541,408684.5625,1,92.47279357910156
layer3.5.conv3.weight,301,87,layer3.5.conv3.weight_ch301_w87,1.1918378106656746e-07,0.048350512981414795,0.048350393772125244,405679.3125,1,1586.1949462890625
layer3.0.conv2.weight,206,1480,layer3.0.conv2.weight_ch206_w1480,3.66969636900194e-08,0.013791928067803383,0.013791891746222973,375831.96875,1,165.4082489013672
layer3.4.conv2.weight,236,347,layer3.4.conv2.weight_ch236_w347,2.3672102500427172e-08,-0.005729231983423233,0.005729255732148886,242025.640625,1,106.99862670898438
layer2.2.conv3.weight,199,100,layer2.2.conv3.weight_ch199_w100,-6.472445335248267e-08,0.014826370403170586,0.014826434664428234,229070.0625,1,1791.266845703125
layer2.0.conv3.weight,107,26,layer2.0.conv3.weight_ch107_w26,1.4073242482481874e-07,-0.030759265646338463,0.030759407207369804,218566.59375,1,1710.7088623046875
layer3.4.conv2.weight,172,2095,layer3.4.conv2.weight_ch172_w2095,9.131814948659667e-08,-0.016865000128746033,0.016865091398358345,184684.984375,1,83.61841583251953
layer3.4.conv2.weight,187,1265,layer3.4.conv2.weight_ch187_w1265,5.452650952975091e-08,-0.00969146192073822,0.009691516868770123,177739.546875,1,79.94308471679688
layer2.3.conv3.weight,368,21,layer2.3.conv3.weight_ch368_w21,-1.5499843186717044e-07,0.024812741205096245,0.02481289580464363,160084.8125,1,1251.9910888671875
layer2.3.conv3.weight,165,59,layer2.3.conv3.weight_ch165_w59,-3.037767157820781e-07,-0.010087608359754086,0.010087304748594761,33206.3125,1,260.46875
layer2.2.conv3.weight,94,45,layer2.2.conv3.weight_ch94_w45,-1.385201926495938e-06,-0.026982752606272697,0.02698136679828167,19478.291015625,1,158.03907775878906
conv1.weight,43,141,conv1.weight_ch43_w141,-7.855604962969664e-06,-0.08301670104265213,0.08300884813070297,10566.8310546875,1,81.32156372070312
layer2.3.conv3.weight,422,81,layer2.3.conv3.weight_ch422_w81,-2.520338512113085e-06,-0.022207830101251602,0.022205309942364693,8810.447265625,1,82.1968994140625
layer4.1.conv2.weight,254,2094,layer4.1.conv2.weight_ch254_w2094,-2.5529304821247933e-06,-0.00849968008697033,0.008497127331793308,3328.3818359375,2,215.2359619140625
layer4.0.conv2.weight,418,3454,layer4.0.conv2.weight_ch418_w3454,-7.772399840177968e-06,0.021897470578551292,0.021905243396759033,2818.337158203125,2,92.47279357910156
layer3.0.conv2.weight,133,1450,layer3.0.conv2.weight_ch133_w1450,-1.1570467904675752e-05,-0.03072577342391014,0.03071420267224312,2654.5341796875,2,246.0330352783203
layer4.0.conv2.weight,418,4053,layer4.0.conv2.weight_ch418_w4053,1.9981100194854662e-05,0.030426722019910812,0.030406741425395012,1521.775146484375,3,92.47279357910156
layer2.3.conv3.weight,422,35,layer2.3.conv3.weight_ch422_w35,-1.4662914509244729e-05,0.021459415555000305,0.02147407829761505,1464.516357421875,2,82.1968994140625
layer4.0.conv2.weight,418,3165,layer4.0.conv2.weight_ch418_w3165,-1.930045436893124e-05,-0.022962113842368126,0.022942813113331795,1188.71875,4,92.47279357910156
layer3.4.conv2.weight,172,1470,layer3.4.conv2.weight_ch172_w1470,3.0015009997441666e-06,0.003093734383583069,0.003090732963755727,1029.7291259765625,2,83.61841583251953
layer4.1.conv2.weight,129,3718,layer4.1.conv2.weight_ch129_w3718,6.098338417359628e-06,-0.0061721764504909515,0.006178274750709534,1013.10791015625,2,123.33079528808594
layer4.0.conv2.weight,418,4001,layer4.0.conv2.weight_ch418_w4001,2.8295293304836378e-05,0.028568923473358154,0.028540628030896187,1008.6705322265625,5,92.47279357910156
layer4.1.conv2.weight,340,382,layer4.1.conv2.weight_ch340_w382,-7.233874384837691e-06,0.007107136771082878,0.007114370819181204,983.47998046875,2,152.52088928222656
layer3.0.conv2.weight,133,2196,layer3.0.conv2.weight_ch133_w2196,1.2461840924515855e-05,-0.012071209959685802,0.012083671987056732,969.6538696289062,3,246.0330352783203
layer3.4.conv2.weight,172,688,layer3.4.conv2.weight_ch172_w688,-2.5747638574102893e-05,0.0225409846752882,0.02256673201918602,876.4583129882812,3,83.61841583251953
layer3.0.conv2.weight,48,766,layer3.0.conv2.weight_ch48_w766,3.533348717610352e-05,-0.029042020440101624,0.029077354818582535,822.9404296875,2,203.04742431640625
layer3.4.conv2.weight,172,255,layer3.4.conv2.weight_ch172_w255,-1.0586762982711662e-05,0.008048811927437782,0.008059398271143436,761.271240234375,4,83.61841583251953
