layer_name,channel_index,channel_id,mean_absolute_change,max_absolute_change,mean_relative_change,max_relative_change,std_absolute_change,percentage_changed,channel_parameters,layer_total_relative_change
layer2.3.conv3.weight,407,layer2.3.conv3.weight_ch407,0.05653535574674606,0.1724889874458313,39.303226470947266,4853.7177734375,0.04018448665738106,100.0,128,5.413695335388184
layer4.0.conv2.weight,283,layer4.0.conv2.weight_ch283,0.01819884404540062,0.08323262631893158,37.535484313964844,149969.765625,0.013616038486361504,100.0,4608,4.4487762451171875
layer3.5.conv3.weight,97,layer3.5.conv3.weight_ch97,0.03528617322444916,0.13199153542518616,35.42290496826172,6266.619140625,0.02602100558578968,100.0,256,4.302753448486328
layer2.2.conv3.weight,453,layer2.2.conv3.weight_ch453,0.04966824874281883,0.17806050181388855,34.88531494140625,4184.99169921875,0.039394184947013855,100.0,128,6.416417121887207
layer2.2.conv3.weight,344,layer2.2.conv3.weight_ch344,0.05334925279021263,0.17915181815624237,34.86073684692383,4138.60302734375,0.03661435469985008,100.0,128,6.416417121887207
layer2.3.conv2.weight,119,layer2.3.conv2.weight_ch119,0.03553850203752518,0.19636699557304382,34.73653793334961,37402.6640625,0.02693667821586132,100.0,1152,6.499204635620117
conv1.weight,45,conv1.weight_ch45,0.06994450092315674,0.25942546129226685,34.651939392089844,2274.34716796875,0.056167688220739365,100.0,147,16.32292366027832
layer4.0.conv2.weight,453,layer4.0.conv2.weight_ch453,0.01809552311897278,0.07655632495880127,33.63584899902344,123165.5234375,0.013751296326518059,100.0,4608,4.4487762451171875
layer4.0.conv2.weight,46,layer4.0.conv2.weight_ch46,0.017994560301303864,0.08467072248458862,31.241933822631836,129254.0078125,0.013693231157958508,100.0,4608,4.4487762451171875
conv1.weight,17,conv1.weight_ch17,0.07454539835453033,0.4338894784450531,31.08872413635254,2973.919677734375,0.07916172593832016,100.0,147,16.32292366027832
layer3.5.conv3.weight,611,layer3.5.conv3.weight_ch611,0.03846912086009979,0.1332167685031891,30.24468994140625,7059.40869140625,0.030181003734469414,100.0,256,4.302753448486328
