layer_name,mean_absolute_change,max_absolute_change,mean_relative_change,max_relative_change,std_absolute_change,percentage_changed,total_parameters,layer_type,layer_depth,shape
conv1.weight,0.05994918569922447,0.4993399381637573,13.196747779846191,4184.7216796875,0.062114469707012177,100.0,9408,Convolution,0,"[64, 3, 7, 7]"
fc.weight,0.019003475084900856,0.2841480076313019,10.687468528747559,1146356.0,0.0166153647005558,99.99731183052063,409600,Fully Connected,5,"[200, 2048]"
layer1.2.conv1.weight,0.14318810403347015,0.751887321472168,8.693624496459961,117487.6171875,0.10810115933418274,100.0,16384,Convolution,1,"[64, 256, 1, 1]"
layer2.2.conv3.weight,0.05200836434960365,0.30073368549346924,5.9581804275512695,206825.484375,0.03929787874221802,100.0,65536,Convolution,2,"[512, 128, 1, 1]"
fc.bias,0.01363418623805046,0.056137461215257645,5.477453708648682,418.0857849121094,0.010950291529297829,100.0,200,Fully Connected,5,[200]
layer2.2.conv2.weight,0.035259902477264404,0.22331272065639496,5.434720993041992,265713.71875,0.026812463998794556,100.0,147456,Convolution,2,"[128, 128, 3, 3]"
layer1.2.conv3.weight,0.0727238729596138,0.37144529819488525,5.182483673095703,50555.62890625,0.05517115071415901,100.0,16384,Convolution,1,"[256, 64, 1, 1]"
layer3.0.conv2.weight,0.025575870648026466,0.20848801732063293,4.588140487670898,381128.03125,0.019438140094280243,99.99830722808838,589824,Convolution,3,"[256, 256, 3, 3]"
layer4.1.conv2.weight,0.01802339218556881,0.1483744978904724,4.438840866088867,377312.6875,0.013641673140227795,99.99656677246094,2359296,Convolution,4,"[512, 512, 3, 3]"
layer4.0.conv2.weight,0.01828625053167343,0.28059685230255127,4.284345626831055,303946.375,0.013856644742190838,99.99644160270691,2359296,Convolution,4,"[512, 512, 3, 3]"
layer4.0.conv3.weight,0.026643643155694008,0.21394231915473938,4.268197059631348,384925.8125,0.02013331465423107,99.99799728393555,1048576,Convolution,4,"[2048, 512, 1, 1]"
layer3.5.conv3.weight,0.03692690655589104,0.25577080249786377,4.199634552001953,149409.625,0.02794032171368599,99.9969482421875,262144,Convolution,3,"[1024, 256, 1, 1]"
layer3.3.conv3.weight,0.036802370101213455,0.2511257529258728,4.168032169342041,301006.8125,0.027850257232785225,99.99961853027344,262144,Convolution,3,"[1024, 256, 1, 1]"
layer3.1.conv2.weight,0.02494107000529766,0.17292669415473938,3.8671324253082275,269506.0625,0.01892918534576893,99.99745488166809,589824,Convolution,3,"[256, 256, 3, 3]"
layer3.1.conv3.weight,0.037228118628263474,0.357437402009964,3.7494006156921387,119616.9609375,0.02815701812505722,99.99771118164062,262144,Convolution,3,"[1024, 256, 1, 1]"
layer2.0.conv2.weight,0.035527538508176804,0.23158404231071472,3.698428153991699,40375.01171875,0.027089497074484825,99.99864101409912,147456,Convolution,2,"[128, 128, 3, 3]"
layer4.1.conv3.weight,0.026244908571243286,0.1649508774280548,3.628951072692871,163033.328125,0.019852058961987495,99.9979019165039,1048576,Convolution,4,"[2048, 512, 1, 1]"
layer1.2.conv2.weight,0.049958545714616776,0.2697082757949829,3.5747158527374268,21638.005859375,0.037993453443050385,99.99728798866272,36864,Convolution,1,"[64, 64, 3, 3]"
layer3.0.conv3.weight,0.03783584386110306,0.30226749181747437,3.5040173530578613,75054.4296875,0.028794072568416595,99.99847412109375,262144,Convolution,3,"[1024, 256, 1, 1]"
layer3.3.conv2.weight,0.024896539747714996,0.19619229435920715,3.484063148498535,124364.78125,0.01884978450834751,99.99847412109375,589824,Convolution,3,"[256, 256, 3, 3]"
layer4.2.conv2.weight,0.017527682706713676,0.11405180394649506,3.4598276615142822,203052.390625,0.013252155855298042,99.9969482421875,2359296,Convolution,4,"[512, 512, 3, 3]"
layer2.3.conv2.weight,0.03545154631137848,0.2207125574350357,3.4468984603881836,28640.158203125,0.026895470917224884,99.99864101409912,147456,Convolution,2,"[128, 128, 3, 3]"
layer4.2.conv3.weight,0.025912251323461533,0.20570269227027893,3.3619203567504883,385790.8125,0.01960652321577072,99.99723434448242,1048576,Convolution,4,"[2048, 512, 1, 1]"
layer3.5.conv2.weight,0.025017423555254936,0.15507686138153076,3.337024688720703,156541.234375,0.01893840916454792,99.99830722808838,589824,Convolution,3,"[256, 256, 3, 3]"
layer2.1.conv2.weight,0.03473489731550217,0.25179070234298706,3.234081506729126,38639.359375,0.0265586469322443,99.99525547027588,147456,Convolution,2,"[128, 128, 3, 3]"
layer3.2.conv2.weight,0.02488609403371811,0.15278521180152893,3.1328818798065186,69704.9375,0.018832311034202576,99.99813437461853,589824,Convolution,3,"[256, 256, 3, 3]"
layer3.2.conv3.weight,0.03696007281541824,0.26464423537254333,3.098710060119629,82799.6484375,0.027977725490927696,99.99923706054688,262144,Convolution,3,"[1024, 256, 1, 1]"
layer2.0.conv3.weight,0.05256061255931854,0.3657771646976471,3.0704736709594727,55714.390625,0.04005482420325279,99.993896484375,65536,Convolution,2,"[512, 128, 1, 1]"
layer3.4.conv2.weight,0.024901749566197395,0.1540592610836029,3.0590994358062744,32411.81640625,0.018848514184355736,99.99745488166809,589824,Convolution,3,"[256, 256, 3, 3]"
layer4.0.downsample.0.weight,0.025703128427267075,0.3788113594055176,2.8959548473358154,400912.4375,0.019437767565250397,99.99794960021973,2097152,Downsample,4,"[2048, 1024, 1, 1]"
