layer_name,channel_index,weight_index,weight_id,baseline_value,unlearned_value,absolute_change,relative_change,rank_in_channel,channel_total_change
layer3.5.conv2.weight,98,644,layer3.5.conv2.weight_ch98_w644,-1.4536777115381483e-08,-0.02044227533042431,0.020442260429263115,1406244.375,1,613.1883544921875
layer3.0.conv3.weight,902,193,layer3.0.conv3.weight_ch902_w193,2.0836340652863328e-08,0.021210364997386932,0.02121034450829029,1017949.625,1,3978.547607421875
layer3.1.conv2.weight,123,1213,layer3.1.conv2.weight_ch123_w1213,1.4509163648313006e-08,0.013852632604539394,0.0138526177033782,954749.5625,1,416.78753662109375
layer4.0.conv2.weight,390,4064,layer4.0.conv2.weight_ch390_w4064,-1.9260928851849712e-08,-0.016304321587085724,0.01630430296063423,846496.1875,1,186.58206176757812
layer3.4.conv2.weight,200,722,layer3.4.conv2.weight_ch200_w722,-1.2897744205986328e-08,0.007738323416560888,0.007738336455076933,599975.9375,1,262.2290954589844
layer4.1.conv2.weight,23,567,layer4.1.conv2.weight_ch23_w567,-2.650412334048724e-08,-0.01118150632828474,0.011181480251252651,421877.0,1,94.96405792236328
layer3.0.conv2.weight,175,390,layer3.0.conv2.weight_ch175_w390,-7.852101902017239e-08,-0.027452290058135986,0.02745221182703972,349616.09375,1,154.61886596679688
layer4.0.conv2.weight,9,1160,layer4.0.conv2.weight_ch9_w1160,5.092744004286942e-08,-0.014933440834283829,0.014933492057025433,293230.75,1,66.4863510131836
layer3.0.conv3.weight,793,4,layer3.0.conv3.weight_ch793_w4,-6.332287938448644e-08,0.017746781930327415,0.01774684526026249,280259.59375,1,1097.4364013671875
layer4.0.conv2.weight,66,1642,layer4.0.conv2.weight_ch66_w1642,2.8905770221854254e-08,-0.008068104274570942,0.008068133145570755,279118.4375,1,63.52111053466797
layer3.0.conv2.weight,230,651,layer3.0.conv2.weight_ch230_w651,1.0461895527669185e-07,-0.022640777751803398,0.022640882059931755,216412.8125,1,96.54708862304688
layer2.0.conv2.weight,34,692,layer2.0.conv2.weight_ch34_w692,-9.822353774779913e-08,-0.011270346119999886,0.011270248331129551,114740.8125,1,101.60781860351562
layer3.0.conv2.weight,56,762,layer3.0.conv2.weight_ch56_w762,1.1194114080126383e-07,-0.011693078093230724,0.011693189851939678,104458.375,1,86.99658966064453
conv1.weight,23,58,conv1.weight_ch23_w58,3.3857136827464274e-07,-0.031064610928297043,0.031064949929714203,91753.03125,1,633.7078857421875
layer3.0.conv2.weight,56,1461,layer3.0.conv2.weight_ch56_w1461,-1.5651467322186363e-07,0.00993130449205637,0.009931460954248905,63453.86328125,2,86.99658966064453
layer3.0.conv3.weight,651,116,layer3.0.conv3.weight_ch651_w116,-1.6287772552914248e-07,0.01000209990888834,0.010002262890338898,61409.640625,1,241.58938598632812
layer3.0.conv3.weight,20,158,layer3.0.conv3.weight_ch20_w158,-5.628903636534233e-07,-0.018182285130023956,0.01818172261118889,32300.646484375,1,128.7906036376953
conv1.weight,35,47,conv1.weight_ch35_w47,-9.04331318452023e-06,0.19955584406852722,0.1995648890733719,22067.673828125,1,161.6789093017578
layer3.0.conv3.weight,349,210,layer3.0.conv3.weight_ch349_w210,-1.0713766869230312e-06,-0.0184565931558609,0.018455522134900093,17225.98828125,1,69.04865264892578
layer3.0.conv2.weight,56,180,layer3.0.conv2.weight_ch56_w180,-5.45067052826198e-07,-0.009026908315718174,0.009026363492012024,16560.09765625,3,86.99658966064453
layer3.0.conv3.weight,71,119,layer3.0.conv3.weight_ch71_w119,-1.189180920846411e-06,0.0186692513525486,0.01867043972015381,15700.251953125,1,64.28777313232422
layer3.0.conv3.weight,269,187,layer3.0.conv3.weight_ch269_w187,-5.204132776270853e-06,-0.07316158711910248,0.07315638661384583,14057.36328125,1,57.62220001220703
layer3.0.conv2.weight,56,1144,layer3.0.conv2.weight_ch56_w1144,-2.1757498416263843e-06,0.014869602397084236,0.014871777966618538,6835.24267578125,4,86.99658966064453
layer4.1.conv2.weight,23,244,layer4.1.conv2.weight_ch23_w244,1.9543588223314146e-06,-0.009131944738328457,0.00913389865309,4673.603515625,2,94.96405792236328
