layer_name,channel_index,channel_id,mean_absolute_change,max_absolute_change,mean_relative_change,max_relative_change,std_absolute_change,percentage_changed,channel_parameters,layer_total_relative_change
layer3.0.conv3.weight,902,layer3.0.conv3.weight_ch902,0.036393240094184875,0.13034942746162415,3978.547607421875,1017949.625,0.02728853188455105,100.0,256,8.306943893432617
layer3.0.conv3.weight,793,layer3.0.conv3.weight_ch793,0.04190704971551895,0.15810056030750275,1097.4364013671875,280259.59375,0.030074233189225197,100.0,256,8.306943893432617
conv1.weight,23,conv1.weight_ch23,0.05921834707260132,0.2461669147014618,633.7078857421875,91753.03125,0.053618885576725006,100.0,147,25.334697723388672
layer3.5.conv2.weight,98,layer3.5.conv2.weight_ch98,0.025234751403331757,0.13198943436145782,613.1883544921875,1406244.375,0.01859262026846409,100.0,2304,5.749016284942627
layer3.1.conv2.weight,123,layer3.1.conv2.weight_ch123,0.024749981239438057,0.10027367621660233,416.78753662109375,954749.5625,0.018291519954800606,100.0,2304,5.319070816040039
layer3.4.conv2.weight,200,layer3.4.conv2.weight_ch200,0.024928510189056396,0.1122792586684227,262.2290954589844,599975.9375,0.018539682030677795,100.0,2304,4.363691329956055
layer3.0.conv3.weight,651,layer3.0.conv3.weight_ch651,0.03627774119377136,0.12583822011947632,241.58938598632812,61409.640625,0.026677165180444717,100.0,256,8.306943893432617
layer4.0.conv2.weight,390,layer4.0.conv2.weight_ch390,0.01811644248664379,0.12149139493703842,186.58206176757812,846496.1875,0.014094552025198936,99.95659589767456,4608,4.673312187194824
conv1.weight,35,conv1.weight_ch35,0.08494263142347336,0.2824075520038605,161.6789093017578,22067.673828125,0.0753568559885025,100.0,147,25.334697723388672
layer3.0.conv2.weight,175,layer3.0.conv2.weight_ch175,0.02487098053097725,0.11495445668697357,154.61886596679688,349616.09375,0.019134163856506348,100.0,2304,5.211496353149414
layer3.0.conv3.weight,20,layer3.0.conv3.weight_ch20,0.0384802483022213,0.14576946198940277,128.7906036376953,32300.646484375,0.027714427560567856,100.0,256,8.306943893432617
layer2.0.conv2.weight,34,layer2.0.conv2.weight_ch34,0.035003386437892914,0.15994594991207123,101.60781860351562,114740.8125,0.026689516380429268,100.0,1152,4.360262393951416
layer3.0.conv2.weight,230,layer3.0.conv2.weight_ch230,0.02586301416158676,0.1183825135231018,96.54708862304688,216412.8125,0.019700098782777786,100.0,2304,5.211496353149414
layer4.1.conv2.weight,23,layer4.1.conv2.weight_ch23,0.017756745219230652,0.09578559547662735,94.96405792236328,421877.0,0.013568757101893425,100.0,4608,4.231784820556641
layer3.0.conv2.weight,56,layer3.0.conv2.weight_ch56,0.025831598788499832,0.11564359813928604,86.99658966064453,104458.375,0.019403643906116486,100.0,2304,5.211496353149414
layer3.0.conv3.weight,349,layer3.0.conv3.weight_ch349,0.03738725557923317,0.12912201881408691,69.04865264892578,17225.98828125,0.027615420520305634,100.0,256,8.306943893432617
layer4.0.conv2.weight,9,layer4.0.conv2.weight_ch9,0.01759072206914425,0.0850575715303421,66.4863510131836,293230.75,0.013606321066617966,100.0,4608,4.673312187194824
layer3.0.conv3.weight,71,layer3.0.conv3.weight_ch71,0.036837656050920486,0.12348447740077972,64.28777313232422,15700.251953125,0.02783123403787613,100.0,256,8.306943893432617
layer4.0.conv2.weight,66,layer4.0.conv2.weight_ch66,0.018476439639925957,0.08292075991630554,63.52111053466797,279118.4375,0.014080053195357323,100.0,4608,4.673312187194824
