channel_id,weight_index,weight_id,relative_change
layer3.5.conv3.weight_ch666,93,layer3.5.conv3.weight_ch666_w93,584300.3125
layer3.1.conv2.weight_ch112,1771,layer3.1.conv2.weight_ch112_w1771,560211.125
layer4.0.conv3.weight_ch1084,75,layer4.0.conv3.weight_ch1084_w75,407676.375
layer3.2.conv1.weight_ch187,667,layer3.2.conv1.weight_ch187_w667,333545.75
layer3.3.conv3.weight_ch614,176,layer3.3.conv3.weight_ch614_w176,188250.453125
layer3.0.conv3.weight_ch226,12,layer3.0.conv3.weight_ch226_w12,140801.9375
layer3.0.conv3.weight_ch501,115,layer3.0.conv3.weight_ch501_w115,136197.53125
layer4.0.conv3.weight_ch0,25,layer4.0.conv3.weight_ch0_w25,125851.9921875
layer4.0.conv3.weight_ch1462,401,layer4.0.conv3.weight_ch1462_w401,93889.2109375
layer4.0.conv3.weight_ch1055,24,layer4.0.conv3.weight_ch1055_w24,89049.1796875
layer4.0.conv3.weight_ch1771,351,layer4.0.conv3.weight_ch1771_w351,74361.90625
layer2.3.conv3.weight_ch231,48,layer2.3.conv3.weight_ch231_w48,71126.7109375
layer3.5.conv3.weight_ch359,152,layer3.5.conv3.weight_ch359_w152,65301.33984375
layer3.2.conv3.weight_ch366,187,layer3.2.conv3.weight_ch366_w187,63213.1953125
layer3.5.conv3.weight_ch331,162,layer3.5.conv3.weight_ch331_w162,61929.8125
layer2.0.conv1.weight_ch92,184,layer2.0.conv1.weight_ch92_w184,60912.578125
layer3.2.conv3.weight_ch668,140,layer3.2.conv3.weight_ch668_w140,56384.5
layer3.4.conv3.weight_ch59,223,layer3.4.conv3.weight_ch59_w223,47779.96484375
layer3.4.conv3.weight_ch84,136,layer3.4.conv3.weight_ch84_w136,41455.02734375
layer3.4.conv3.weight_ch784,241,layer3.4.conv3.weight_ch784_w241,31385.486328125
layer2.0.conv1.weight_ch92,48,layer2.0.conv1.weight_ch92_w48,24220.49609375
layer3.4.conv3.weight_ch784,71,layer3.4.conv3.weight_ch784_w71,3963.015380859375
