channel_id,weight_index,weight_id,relative_change
layer3.1.conv2.weight_ch112,1739,layer3.1.conv2.weight_ch112_w1739,1652.253173828125
layer3.5.conv3.weight_ch359,25,layer3.5.conv3.weight_ch359_w25,1169.0235595703125
layer3.1.conv2.weight_ch112,356,layer3.1.conv2.weight_ch112_w356,659.4639892578125
layer4.0.conv3.weight_ch1055,370,layer4.0.conv3.weight_ch1055_w370,657.7830200195312
layer3.1.conv2.weight_ch112,2112,layer3.1.conv2.weight_ch112_w2112,443.5749206542969
layer3.2.conv3.weight_ch366,57,layer3.2.conv3.weight_ch366_w57,433.8963623046875
layer3.1.conv2.weight_ch112,1047,layer3.1.conv2.weight_ch112_w1047,251.8172149658203
layer3.1.conv2.weight_ch112,215,layer3.1.conv2.weight_ch112_w215,228.23513793945312
layer3.4.conv3.weight_ch784,125,layer3.4.conv3.weight_ch784_w125,190.01405334472656
layer3.4.conv3.weight_ch84,3,layer3.4.conv3.weight_ch84_w3,153.954345703125
layer3.5.conv3.weight_ch359,108,layer3.5.conv3.weight_ch359_w108,111.56407165527344
layer4.0.conv3.weight_ch1771,385,layer4.0.conv3.weight_ch1771_w385,108.8630599975586
layer4.0.conv3.weight_ch1771,300,layer4.0.conv3.weight_ch1771_w300,107.55635070800781
layer3.0.conv3.weight_ch501,255,layer3.0.conv3.weight_ch501_w255,105.88404083251953
layer2.0.conv1.weight_ch92,242,layer2.0.conv1.weight_ch92_w242,104.24828338623047
layer4.0.conv3.weight_ch1084,215,layer4.0.conv3.weight_ch1084_w215,93.63468170166016
layer3.1.conv2.weight_ch112,920,layer3.1.conv2.weight_ch112_w920,84.93624877929688
layer3.2.conv1.weight_ch187,138,layer3.2.conv1.weight_ch187_w138,83.46060943603516
layer3.5.conv3.weight_ch359,189,layer3.5.conv3.weight_ch359_w189,79.21251678466797
layer3.1.conv2.weight_ch112,1887,layer3.1.conv2.weight_ch112_w1887,78.39718627929688
layer3.1.conv2.weight_ch112,109,layer3.1.conv2.weight_ch112_w109,78.00575256347656
layer3.2.conv1.weight_ch187,911,layer3.2.conv1.weight_ch187_w911,75.79241180419922
layer3.4.conv3.weight_ch59,183,layer3.4.conv3.weight_ch59_w183,75.00171661376953
layer3.2.conv3.weight_ch366,198,layer3.2.conv3.weight_ch366_w198,73.45671081542969
layer3.2.conv1.weight_ch187,27,layer3.2.conv1.weight_ch187_w27,72.1963882446289
layer3.4.conv3.weight_ch784,119,layer3.4.conv3.weight_ch784_w119,71.21292877197266
layer3.5.conv3.weight_ch331,46,layer3.5.conv3.weight_ch331_w46,70.81344604492188
layer3.2.conv3.weight_ch668,195,layer3.2.conv3.weight_ch668_w195,69.09414672851562
layer3.4.conv3.weight_ch59,192,layer3.4.conv3.weight_ch59_w192,68.06735229492188
layer3.4.conv3.weight_ch784,178,layer3.4.conv3.weight_ch784_w178,68.0636215209961
layer4.0.conv3.weight_ch0,487,layer4.0.conv3.weight_ch0_w487,67.14051818847656
layer3.5.conv3.weight_ch331,12,layer3.5.conv3.weight_ch331_w12,63.590736389160156
layer3.4.conv3.weight_ch84,30,layer3.4.conv3.weight_ch84_w30,62.49654006958008
layer2.0.conv1.weight_ch92,159,layer2.0.conv1.weight_ch92_w159,62.458045959472656
layer3.1.conv2.weight_ch112,1240,layer3.1.conv2.weight_ch112_w1240,61.202449798583984
layer2.0.conv1.weight_ch92,63,layer2.0.conv1.weight_ch92_w63,58.895206451416016
layer3.0.conv3.weight_ch501,141,layer3.0.conv3.weight_ch501_w141,57.07429122924805
layer3.4.conv3.weight_ch784,40,layer3.4.conv3.weight_ch784_w40,56.34187316894531
layer4.0.conv3.weight_ch1055,406,layer4.0.conv3.weight_ch1055_w406,53.632633209228516
layer3.5.conv3.weight_ch359,111,layer3.5.conv3.weight_ch359_w111,53.41396713256836
layer3.4.conv3.weight_ch784,185,layer3.4.conv3.weight_ch784_w185,51.6113395690918
layer2.3.conv3.weight_ch231,65,layer2.3.conv3.weight_ch231_w65,51.47093200683594
layer2.0.conv1.weight_ch92,129,layer2.0.conv1.weight_ch92_w129,50.88457489013672
layer4.0.conv3.weight_ch1055,63,layer4.0.conv3.weight_ch1055_w63,47.31161880493164
layer2.0.conv1.weight_ch92,6,layer2.0.conv1.weight_ch92_w6,47.17877197265625
layer3.2.conv3.weight_ch366,95,layer3.2.conv3.weight_ch366_w95,46.51393508911133
layer3.4.conv3.weight_ch59,0,layer3.4.conv3.weight_ch59_w0,46.4985466003418
layer3.2.conv1.weight_ch187,981,layer3.2.conv1.weight_ch187_w981,45.698848724365234
layer3.4.conv3.weight_ch84,153,layer3.4.conv3.weight_ch84_w153,44.900028228759766
layer4.0.conv3.weight_ch1084,106,layer4.0.conv3.weight_ch1084_w106,44.4943733215332
layer3.0.conv3.weight_ch226,62,layer3.0.conv3.weight_ch226_w62,44.37498474121094
layer4.0.conv3.weight_ch1084,381,layer4.0.conv3.weight_ch1084_w381,44.28956604003906
layer4.0.conv3.weight_ch1055,362,layer4.0.conv3.weight_ch1055_w362,44.1058235168457
layer4.0.conv3.weight_ch0,58,layer4.0.conv3.weight_ch0_w58,43.58734893798828
layer3.5.conv3.weight_ch666,25,layer3.5.conv3.weight_ch666_w25,43.19285583496094
layer3.4.conv3.weight_ch59,104,layer3.4.conv3.weight_ch59_w104,42.309608459472656
layer4.0.conv3.weight_ch1771,396,layer4.0.conv3.weight_ch1771_w396,40.68079376220703
layer4.0.conv3.weight_ch1771,441,layer4.0.conv3.weight_ch1771_w441,40.58882522583008
layer3.5.conv3.weight_ch331,164,layer3.5.conv3.weight_ch331_w164,36.53561782836914
layer4.0.conv3.weight_ch1084,291,layer4.0.conv3.weight_ch1084_w291,36.40736389160156
layer2.3.conv3.weight_ch231,90,layer2.3.conv3.weight_ch231_w90,36.166194915771484
layer4.0.conv3.weight_ch0,232,layer4.0.conv3.weight_ch0_w232,35.25632095336914
layer3.5.conv3.weight_ch666,180,layer3.5.conv3.weight_ch666_w180,34.46683120727539
layer3.4.conv3.weight_ch784,209,layer3.4.conv3.weight_ch784_w209,33.09185791015625
layer3.5.conv3.weight_ch359,218,layer3.5.conv3.weight_ch359_w218,32.96576690673828
layer4.0.conv3.weight_ch0,247,layer4.0.conv3.weight_ch0_w247,32.77976989746094
layer3.2.conv1.weight_ch187,661,layer3.2.conv1.weight_ch187_w661,32.37368392944336
layer4.0.conv3.weight_ch1084,37,layer4.0.conv3.weight_ch1084_w37,31.279844284057617
layer3.5.conv3.weight_ch359,96,layer3.5.conv3.weight_ch359_w96,31.104360580444336
layer4.0.conv3.weight_ch0,463,layer4.0.conv3.weight_ch0_w463,29.652677536010742
layer3.4.conv3.weight_ch784,165,layer3.4.conv3.weight_ch784_w165,29.181499481201172
layer3.4.conv3.weight_ch784,68,layer3.4.conv3.weight_ch784_w68,28.486387252807617
layer2.0.conv1.weight_ch92,227,layer2.0.conv1.weight_ch92_w227,28.012083053588867
layer3.3.conv3.weight_ch614,201,layer3.3.conv3.weight_ch614_w201,27.423112869262695
layer2.3.conv3.weight_ch231,109,layer2.3.conv3.weight_ch231_w109,27.20616912841797
layer3.4.conv3.weight_ch84,196,layer3.4.conv3.weight_ch84_w196,26.48674964904785
layer4.0.conv3.weight_ch0,500,layer4.0.conv3.weight_ch0_w500,26.383352279663086
layer3.2.conv1.weight_ch187,932,layer3.2.conv1.weight_ch187_w932,25.887540817260742
layer3.2.conv1.weight_ch187,270,layer3.2.conv1.weight_ch187_w270,25.831920623779297
layer3.5.conv3.weight_ch359,127,layer3.5.conv3.weight_ch359_w127,25.823366165161133
layer3.2.conv3.weight_ch668,16,layer3.2.conv3.weight_ch668_w16,25.31975746154785
layer3.5.conv3.weight_ch359,0,layer3.5.conv3.weight_ch359_w0,25.14072608947754
layer4.0.conv3.weight_ch0,6,layer4.0.conv3.weight_ch0_w6,24.967626571655273
layer4.0.conv3.weight_ch1771,206,layer4.0.conv3.weight_ch1771_w206,24.532217025756836
layer3.4.conv3.weight_ch84,182,layer3.4.conv3.weight_ch84_w182,23.832904815673828
layer2.0.conv1.weight_ch92,107,layer2.0.conv1.weight_ch92_w107,23.299171447753906
layer4.0.conv3.weight_ch1771,436,layer4.0.conv3.weight_ch1771_w436,23.042144775390625
layer3.2.conv1.weight_ch187,29,layer3.2.conv1.weight_ch187_w29,23.024545669555664
layer3.3.conv3.weight_ch614,188,layer3.3.conv3.weight_ch614_w188,22.404945373535156
layer3.4.conv3.weight_ch59,207,layer3.4.conv3.weight_ch59_w207,21.899211883544922
layer4.0.conv3.weight_ch1771,445,layer4.0.conv3.weight_ch1771_w445,21.678577423095703
layer4.0.conv3.weight_ch1771,83,layer4.0.conv3.weight_ch1771_w83,21.502222061157227
layer3.2.conv1.weight_ch187,831,layer3.2.conv1.weight_ch187_w831,20.894744873046875
layer3.5.conv3.weight_ch359,49,layer3.5.conv3.weight_ch359_w49,20.45952606201172
layer2.0.conv1.weight_ch92,193,layer2.0.conv1.weight_ch92_w193,20.4407958984375
layer4.0.conv3.weight_ch0,306,layer4.0.conv3.weight_ch0_w306,20.414016723632812
layer4.0.conv3.weight_ch1084,254,layer4.0.conv3.weight_ch1084_w254,20.333219528198242
layer3.4.conv3.weight_ch59,49,layer3.4.conv3.weight_ch59_w49,20.097341537475586
layer4.0.conv3.weight_ch1771,140,layer4.0.conv3.weight_ch1771_w140,20.04378890991211
layer4.0.conv3.weight_ch0,315,layer4.0.conv3.weight_ch0_w315,19.90900230407715
layer3.0.conv3.weight_ch226,145,layer3.0.conv3.weight_ch226_w145,19.588550567626953
layer4.0.conv3.weight_ch1084,500,layer4.0.conv3.weight_ch1084_w500,18.27265167236328
layer4.0.conv3.weight_ch1084,406,layer4.0.conv3.weight_ch1084_w406,18.166662216186523
layer4.0.conv3.weight_ch1055,195,layer4.0.conv3.weight_ch1055_w195,18.162479400634766
layer3.4.conv3.weight_ch84,178,layer3.4.conv3.weight_ch84_w178,17.611642837524414
layer3.0.conv3.weight_ch226,129,layer3.0.conv3.weight_ch226_w129,17.603084564208984
layer3.2.conv3.weight_ch668,243,layer3.2.conv3.weight_ch668_w243,17.26772117614746
layer3.0.conv3.weight_ch501,47,layer3.0.conv3.weight_ch501_w47,17.08656120300293
layer3.4.conv3.weight_ch59,145,layer3.4.conv3.weight_ch59_w145,16.990596771240234
layer3.2.conv3.weight_ch668,171,layer3.2.conv3.weight_ch668_w171,16.56568717956543
layer4.0.conv3.weight_ch1084,397,layer4.0.conv3.weight_ch1084_w397,16.532224655151367
layer3.4.conv3.weight_ch59,169,layer3.4.conv3.weight_ch59_w169,16.386140823364258
layer3.5.conv3.weight_ch331,141,layer3.5.conv3.weight_ch331_w141,16.093908309936523
layer3.4.conv3.weight_ch59,247,layer3.4.conv3.weight_ch59_w247,15.427594184875488
layer4.0.conv3.weight_ch1055,476,layer4.0.conv3.weight_ch1055_w476,15.325994491577148
layer3.3.conv3.weight_ch614,107,layer3.3.conv3.weight_ch614_w107,15.157537460327148
layer3.3.conv3.weight_ch614,112,layer3.3.conv3.weight_ch614_w112,15.124957084655762
layer3.0.conv3.weight_ch226,67,layer3.0.conv3.weight_ch226_w67,14.740817070007324
layer4.0.conv3.weight_ch1055,71,layer4.0.conv3.weight_ch1055_w71,14.154712677001953
layer4.0.conv3.weight_ch1055,441,layer4.0.conv3.weight_ch1055_w441,14.152769088745117
layer4.0.conv3.weight_ch1055,415,layer4.0.conv3.weight_ch1055_w415,14.082619667053223
layer3.3.conv3.weight_ch614,71,layer3.3.conv3.weight_ch614_w71,14.004764556884766
layer3.3.conv3.weight_ch614,121,layer3.3.conv3.weight_ch614_w121,12.117818832397461
layer3.4.conv3.weight_ch84,88,layer3.4.conv3.weight_ch84_w88,11.020191192626953
layer3.5.conv3.weight_ch666,96,layer3.5.conv3.weight_ch666_w96,10.791417121887207
layer3.4.conv3.weight_ch84,180,layer3.4.conv3.weight_ch84_w180,10.678483009338379
layer3.5.conv3.weight_ch666,171,layer3.5.conv3.weight_ch666_w171,10.267951011657715
layer3.0.conv3.weight_ch501,229,layer3.0.conv3.weight_ch501_w229,10.244606971740723
layer3.4.conv3.weight_ch84,48,layer3.4.conv3.weight_ch84_w48,9.803162574768066
layer3.5.conv3.weight_ch331,5,layer3.5.conv3.weight_ch331_w5,9.375062942504883
layer2.3.conv3.weight_ch231,14,layer2.3.conv3.weight_ch231_w14,9.374228477478027
layer3.3.conv3.weight_ch614,17,layer3.3.conv3.weight_ch614_w17,9.055760383605957
layer3.3.conv3.weight_ch614,90,layer3.3.conv3.weight_ch614_w90,8.945486068725586
layer3.5.conv3.weight_ch666,1,layer3.5.conv3.weight_ch666_w1,8.944257736206055
layer3.0.conv3.weight_ch226,168,layer3.0.conv3.weight_ch226_w168,8.73371696472168
layer3.3.conv3.weight_ch614,110,layer3.3.conv3.weight_ch614_w110,8.340888977050781
layer3.0.conv3.weight_ch226,158,layer3.0.conv3.weight_ch226_w158,8.012106895446777
layer3.5.conv3.weight_ch331,44,layer3.5.conv3.weight_ch331_w44,7.940720558166504
layer3.5.conv3.weight_ch331,30,layer3.5.conv3.weight_ch331_w30,7.7730937004089355
layer4.0.conv3.weight_ch1462,151,layer4.0.conv3.weight_ch1462_w151,7.164389610290527
layer3.5.conv3.weight_ch666,77,layer3.5.conv3.weight_ch666_w77,7.100467681884766
layer3.2.conv3.weight_ch366,64,layer3.2.conv3.weight_ch366_w64,7.079416275024414
layer3.0.conv3.weight_ch226,60,layer3.0.conv3.weight_ch226_w60,7.050367832183838
layer3.5.conv3.weight_ch331,15,layer3.5.conv3.weight_ch331_w15,6.999732971191406
layer3.0.conv3.weight_ch501,71,layer3.0.conv3.weight_ch501_w71,6.959294319152832
layer3.5.conv3.weight_ch666,97,layer3.5.conv3.weight_ch666_w97,6.6775360107421875
layer3.5.conv3.weight_ch666,68,layer3.5.conv3.weight_ch666_w68,6.287996768951416
layer3.5.conv3.weight_ch666,99,layer3.5.conv3.weight_ch666_w99,6.281863689422607
layer3.2.conv3.weight_ch668,177,layer3.2.conv3.weight_ch668_w177,6.229207515716553
layer3.5.conv3.weight_ch331,0,layer3.5.conv3.weight_ch331_w0,6.22645902633667
layer3.2.conv3.weight_ch668,180,layer3.2.conv3.weight_ch668_w180,6.170798301696777
layer3.0.conv3.weight_ch501,224,layer3.0.conv3.weight_ch501_w224,5.87824010848999
layer3.0.conv3.weight_ch501,223,layer3.0.conv3.weight_ch501_w223,5.723061561584473
layer3.2.conv3.weight_ch366,63,layer3.2.conv3.weight_ch366_w63,5.699187278747559
layer3.0.conv3.weight_ch501,152,layer3.0.conv3.weight_ch501_w152,5.300593376159668
layer3.2.conv3.weight_ch668,129,layer3.2.conv3.weight_ch668_w129,5.2535858154296875
layer3.0.conv3.weight_ch501,126,layer3.0.conv3.weight_ch501_w126,5.177918910980225
layer3.2.conv3.weight_ch366,212,layer3.2.conv3.weight_ch366_w212,5.036586761474609
layer3.0.conv3.weight_ch226,29,layer3.0.conv3.weight_ch226_w29,4.999942779541016
layer4.0.conv3.weight_ch1462,104,layer4.0.conv3.weight_ch1462_w104,4.952443599700928
layer3.2.conv3.weight_ch668,217,layer3.2.conv3.weight_ch668_w217,4.852563858032227
layer2.3.conv3.weight_ch231,82,layer2.3.conv3.weight_ch231_w82,4.785153388977051
layer3.0.conv3.weight_ch226,19,layer3.0.conv3.weight_ch226_w19,4.551539897918701
layer3.2.conv3.weight_ch668,17,layer3.2.conv3.weight_ch668_w17,4.314762592315674
layer3.2.conv3.weight_ch366,234,layer3.2.conv3.weight_ch366_w234,4.127516269683838
layer3.2.conv3.weight_ch366,99,layer3.2.conv3.weight_ch366_w99,4.123763084411621
layer2.3.conv3.weight_ch231,95,layer2.3.conv3.weight_ch231_w95,3.9222612380981445
layer3.2.conv3.weight_ch366,58,layer3.2.conv3.weight_ch366_w58,3.9072225093841553
layer2.3.conv3.weight_ch231,127,layer2.3.conv3.weight_ch231_w127,3.593928098678589
layer2.3.conv3.weight_ch231,35,layer2.3.conv3.weight_ch231_w35,3.4654715061187744
layer2.3.conv3.weight_ch231,19,layer2.3.conv3.weight_ch231_w19,3.1552109718322754
layer4.0.conv3.weight_ch1462,251,layer4.0.conv3.weight_ch1462_w251,2.4747774600982666
layer4.0.conv3.weight_ch1462,69,layer4.0.conv3.weight_ch1462_w69,2.452791929244995
layer4.0.conv3.weight_ch1462,397,layer4.0.conv3.weight_ch1462_w397,2.324125051498413
layer4.0.conv3.weight_ch1462,509,layer4.0.conv3.weight_ch1462_w509,2.0991475582122803
layer4.0.conv3.weight_ch1462,317,layer4.0.conv3.weight_ch1462_w317,1.9369295835494995
layer4.0.conv3.weight_ch1462,4,layer4.0.conv3.weight_ch1462_w4,1.8682606220245361
layer4.0.conv3.weight_ch1462,384,layer4.0.conv3.weight_ch1462_w384,1.7530121803283691
