layer_name,channel_index,channel_id,mean_absolute_change,max_absolute_change,mean_relative_change,max_relative_change,std_absolute_change,percentage_changed,channel_parameters,layer_total_relative_change
layer1.2.conv2.weight,52,layer1.2.conv2.weight_ch52,0.0488075390458107,0.1941913515329361,2401.46826171875,1382200.625,0.03846009075641632,100.0,576,42.34794616699219
layer3.1.conv3.weight,793,layer3.1.conv3.weight_ch793,0.03864038735628128,0.1861279457807541,1375.1270751953125,351616.4375,0.03119528852403164,100.0,256,5.917176723480225
layer3.1.conv3.weight,401,layer3.1.conv3.weight_ch401,0.03808318451046944,0.16676001250743866,1360.5738525390625,347538.15625,0.03074539452791214,100.0,256,5.917176723480225
layer4.0.conv3.weight,807,layer4.0.conv3.weight_ch807,0.02665300853550434,0.09228653460741043,622.3547973632812,317700.4375,0.019536873325705528,100.0,512,4.334067344665527
layer3.0.conv2.weight,145,layer3.0.conv2.weight_ch145,0.025769909843802452,0.12386053800582886,559.0394287109375,1279253.75,0.01924588531255722,100.0,2304,6.991128921508789
layer4.0.conv3.weight,561,layer4.0.conv3.weight_ch561,0.027220232412219048,0.13655291497707367,390.49176025390625,198612.046875,0.020209241658449173,100.0,512,4.334067344665527
layer4.0.conv3.weight,1963,layer4.0.conv3.weight_ch1963,0.026463644579052925,0.11227186024188995,372.091064453125,189615.859375,0.019947104156017303,100.0,512,4.334067344665527
conv1.weight,33,conv1.weight_ch33,0.09469426423311234,0.4682199954986572,283.18707275390625,38124.4296875,0.09130469709634781,100.0,147,22.902124404907227
layer4.0.conv3.weight,1251,layer4.0.conv3.weight_ch1251,0.026074422523379326,0.10159746557474136,248.1846466064453,126258.578125,0.019407834857702255,100.0,512,4.334067344665527
conv1.weight,8,conv1.weight_ch8,0.07268307358026505,0.4581858217716217,218.8287353515625,30257.740234375,0.07392670959234238,100.0,147,22.902124404907227
layer3.0.conv2.weight,31,layer3.0.conv2.weight_ch31,0.026829443871974945,0.12102185189723969,210.759521484375,446521.65625,0.020198646932840347,100.0,2304,6.991128921508789
layer4.0.conv3.weight,1018,layer4.0.conv3.weight_ch1018,0.025904325768351555,0.1038726419210434,206.0015106201172,95682.7734375,0.02099328301846981,100.0,512,4.334067344665527
layer3.0.conv1.weight,236,layer3.0.conv1.weight_ch236,0.07395686954259872,0.2866272032260895,203.2921905517578,103172.6171875,0.05586419254541397,100.0,512,3.908703565597534
layer3.0.conv1.weight,19,layer3.0.conv1.weight_ch19,0.07034357637166977,0.3218648433685303,202.92591857910156,102144.5234375,0.055073533207178116,100.0,512,3.908703565597534
layer4.0.conv3.weight,770,layer4.0.conv3.weight_ch770,0.027083436027169228,0.11256477236747742,176.36058044433594,89432.03125,0.021037306636571884,100.0,512,4.334067344665527
layer3.1.conv3.weight,746,layer3.1.conv3.weight_ch746,0.03917842358350754,0.14229905605316162,175.59994506835938,44499.50390625,0.028140388429164886,100.0,256,5.917176723480225
layer3.1.conv3.weight,35,layer3.1.conv3.weight_ch35,0.037789542227983475,0.16381052136421204,161.4994354248047,40863.27734375,0.03197939321398735,100.0,256,5.917176723480225
layer4.0.conv3.weight,1910,layer4.0.conv3.weight_ch1910,0.026978295296430588,0.09934183210134506,154.94827270507812,78357.1875,0.018876031041145325,99.8046875,512,4.334067344665527
layer3.1.conv3.weight,312,layer3.1.conv3.weight_ch312,0.0367731899023056,0.14036674797534943,151.3984832763672,38325.0625,0.02788318693637848,100.0,256,5.917176723480225
layer3.2.conv2.weight,175,layer3.2.conv2.weight_ch175,0.024217482656240463,0.10527566820383072,151.30043029785156,337077.0625,0.018287524580955505,99.95659589767456,2304,4.031323432922363
layer4.1.conv2.weight,75,layer4.1.conv2.weight_ch75,0.017827605828642845,0.08109930157661438,133.6669921875,601000.125,0.013620959594845772,100.0,4608,5.0631794929504395
layer3.1.conv3.weight,104,layer3.1.conv3.weight_ch104,0.03356444463133812,0.12752540409564972,130.0400390625,32451.69140625,0.027438975870609283,100.0,256,5.917176723480225
layer3.5.conv2.weight,162,layer3.5.conv2.weight_ch162,0.02451901137828827,0.11670184135437012,124.43256378173828,280698.15625,0.018785836175084114,100.0,2304,3.945919990539551
layer4.1.conv2.weight,43,layer4.1.conv2.weight_ch43,0.018274810165166855,0.08540032058954239,122.59761810302734,551374.375,0.013682914897799492,100.0,4608,5.0631794929504395
conv1.weight,53,conv1.weight_ch53,0.06823161244392395,0.36297211050987244,116.48925018310547,14783.353515625,0.06560687720775604,100.0,147,22.902124404907227
layer4.1.conv2.weight,336,layer4.1.conv2.weight_ch336,0.018195273354649544,0.09328553080558777,81.59906768798828,355319.8125,0.013842612504959106,100.0,4608,5.0631794929504395
layer4.0.conv3.weight,2018,layer4.0.conv3.weight_ch2018,0.026782365515828133,0.20134299993515015,81.35118865966797,40233.91015625,0.021716635674238205,100.0,512,4.334067344665527
layer4.0.conv2.weight,301,layer4.0.conv2.weight_ch301,0.01850847713649273,0.10410158336162567,81.21551513671875,361055.9375,0.014003104530274868,100.0,4608,4.282309532165527
layer4.1.conv2.weight,27,layer4.1.conv2.weight_ch27,0.01826651766896248,0.09575091302394867,80.58003234863281,337069.53125,0.013766719028353691,99.97829794883728,4608,5.0631794929504395
layer4.1.conv2.weight,132,layer4.1.conv2.weight_ch132,0.01800616830587387,0.08281686156988144,67.01190185546875,295828.8125,0.013519901782274246,100.0,4608,5.0631794929504395
layer3.0.conv1.weight,134,layer3.0.conv1.weight_ch134,0.07186077535152435,0.3953292965888977,66.78195190429688,32764.880859375,0.057071197777986526,100.0,512,3.908703565597534
layer4.0.conv3.weight,255,layer4.0.conv3.weight_ch255,0.025571560487151146,0.10496807098388672,66.43651580810547,30909.986328125,0.020256370306015015,100.0,512,4.334067344665527
layer4.1.conv2.weight,480,layer4.1.conv2.weight_ch480,0.017909148707985878,0.10348545014858246,65.732177734375,284435.9375,0.013594074174761772,100.0,4608,5.0631794929504395
layer4.0.conv3.weight,1835,layer4.0.conv3.weight_ch1835,0.026697320863604546,0.09591403603553772,65.64190673828125,32379.052734375,0.019738811999559402,100.0,512,4.334067344665527
conv1.weight,28,conv1.weight_ch28,0.028612155467271805,0.1256992071866989,63.782806396484375,8475.2724609375,0.02424626611173153,100.0,147,22.902124404907227
conv1.weight,56,conv1.weight_ch56,0.05476360023021698,0.27487897872924805,57.32351303100586,7073.8818359375,0.05577907711267471,100.0,147,22.902124404907227
layer4.0.conv3.weight,2024,layer4.0.conv3.weight_ch2024,0.025797178968787193,0.14724145829677582,57.10911178588867,28122.361328125,0.0208080243319273,100.0,512,4.334067344665527
layer3.0.conv2.weight,209,layer3.0.conv2.weight_ch209,0.025005200877785683,0.11942926049232483,56.805580139160156,126442.328125,0.019270960241556168,100.0,2304,6.991128921508789
layer4.1.conv2.weight,66,layer4.1.conv2.weight_ch66,0.01811777614057064,0.093225859105587,56.14790344238281,241787.71875,0.013989881612360477,100.0,4608,5.0631794929504395
layer4.0.conv3.weight,427,layer4.0.conv3.weight_ch427,0.026461463421583176,0.10984943807125092,54.243350982666016,26071.716796875,0.019979283213615417,100.0,512,4.334067344665527
layer4.0.conv3.weight,955,layer4.0.conv3.weight_ch955,0.02638646960258484,0.10624833405017853,49.5678596496582,24369.46875,0.02103976160287857,100.0,512,4.334067344665527
layer4.0.conv3.weight,1854,layer4.0.conv3.weight_ch1854,0.02822069078683853,0.1102641150355339,48.25359344482422,23076.154296875,0.020892146974802017,100.0,512,4.334067344665527
layer1.2.conv2.weight,44,layer1.2.conv2.weight_ch44,0.05108511447906494,0.2198900580406189,47.1639518737793,26110.26171875,0.03814176097512245,100.0,576,42.34794616699219
layer4.0.conv3.weight,1257,layer4.0.conv3.weight_ch1257,0.025679798796772957,0.10039440542459488,45.667972564697266,22236.99609375,0.020134402438998222,100.0,512,4.334067344665527
layer4.0.conv2.weight,116,layer4.0.conv2.weight_ch116,0.018941543996334076,0.09564352035522461,45.0676155090332,190163.9375,0.014115536585450172,100.0,4608,4.282309532165527
layer3.1.conv3.weight,413,layer3.1.conv3.weight_ch413,0.03529784828424454,0.1179647445678711,44.3917121887207,10135.396484375,0.026150206103920937,100.0,256,5.917176723480225
layer3.1.conv3.weight,38,layer3.1.conv3.weight_ch38,0.03745870292186737,0.1427891105413437,44.19600296020508,10959.3896484375,0.02713867276906967,100.0,256,5.917176723480225
layer4.1.conv2.weight,153,layer4.1.conv2.weight_ch153,0.018438978120684624,0.08456379175186157,43.366302490234375,186652.453125,0.01376587338745594,100.0,4608,5.0631794929504395
layer4.0.conv3.weight,1964,layer4.0.conv3.weight_ch1964,0.02451174706220627,0.08677063137292862,40.826107025146484,19909.73828125,0.018970591947436333,100.0,512,4.334067344665527
layer4.0.conv3.weight,1765,layer4.0.conv3.weight_ch1765,0.025186866521835327,0.09863541275262833,40.479583740234375,20007.177734375,0.01845679059624672,100.0,512,4.334067344665527
