layer_name,mean_absolute_change,max_absolute_change,mean_relative_change,max_relative_change,std_absolute_change,percentage_changed,total_parameters,layer_type,layer_depth,shape
layer1.2.conv2.weight,0.05015427619218826,0.2946488857269287,42.34794616699219,1382200.625,0.03804345056414604,100.0,36864,Convolution,1,"[64, 64, 3, 3]"
conv1.weight,0.059558089822530746,0.5072716474533081,22.902124404907227,38124.4296875,0.06197572872042656,100.0,9408,Convolution,0,"[64, 3, 7, 7]"
fc.weight,0.01899360865354538,0.2737593948841095,8.935203552246094,169447.734375,0.01662290468811989,99.99682903289795,409600,Fully Connected,5,"[200, 2048]"
layer3.0.conv2.weight,0.02556084655225277,0.1940661370754242,6.991128921508789,1279253.75,0.019438261166214943,99.99847412109375,589824,Convolution,3,"[256, 256, 3, 3]"
layer3.1.conv3.weight,0.03713151440024376,0.34372687339782715,5.917176723480225,351616.4375,0.028141668066382408,99.99809265136719,262144,Convolution,3,"[1024, 256, 1, 1]"
fc.bias,0.013736006803810596,0.07055103033781052,5.5680155754089355,733.8929443359375,0.011180926114320755,100.0,200,Fully Connected,5,[200]
layer1.0.downsample.0.weight,0.0763799175620079,0.7589702010154724,5.5357208251953125,55086.99609375,0.05996755510568619,100.0,16384,Downsample,1,"[256, 64, 1, 1]"
layer4.1.conv2.weight,0.018009040504693985,0.13644662499427795,5.0631794929504395,601000.125,0.013638993725180626,99.99703168869019,2359296,Convolution,4,"[512, 512, 3, 3]"
layer4.0.conv3.weight,0.026617560535669327,0.2906162738800049,4.334067344665527,317700.4375,0.02016899734735489,99.9979019165039,1048576,Convolution,4,"[2048, 512, 1, 1]"
layer4.0.conv2.weight,0.018290942534804344,0.28651371598243713,4.282309532165527,361055.9375,0.013854670338332653,99.99563694000244,2359296,Convolution,4,"[512, 512, 3, 3]"
layer3.2.conv2.weight,0.024892307817935944,0.20402508974075317,4.031323432922363,337077.0625,0.01886262185871601,99.99745488166809,589824,Convolution,3,"[256, 256, 3, 3]"
layer3.5.conv2.weight,0.025024788454174995,0.16278250515460968,3.945919990539551,280698.15625,0.01893341913819313,99.99813437461853,589824,Convolution,3,"[256, 256, 3, 3]"
layer3.0.conv1.weight,0.0728992223739624,0.4187573194503784,3.908703565597534,103172.6171875,0.055141765624284744,100.0,131072,Convolution,3,"[256, 512, 1, 1]"
layer3.5.conv3.weight,0.03702143579721451,0.2460610568523407,3.82792067527771,88851.40625,0.02803638018667698,99.99732971191406,262144,Convolution,3,"[1024, 256, 1, 1]"
layer2.3.conv2.weight,0.035497408360242844,0.2209356129169464,3.5859155654907227,46457.23046875,0.02694002538919449,99.99660849571228,147456,Convolution,2,"[128, 128, 3, 3]"
layer3.3.conv3.weight,0.03679695725440979,0.25336122512817383,3.5650596618652344,139448.9375,0.027861734852194786,99.99656677246094,262144,Convolution,3,"[1024, 256, 1, 1]"
layer4.2.conv2.weight,0.01752425730228424,0.11112182587385178,3.457826852798462,259255.296875,0.013245102018117905,99.99648332595825,2359296,Convolution,4,"[512, 512, 3, 3]"
layer3.3.conv2.weight,0.0248901154845953,0.16120101511478424,3.4357595443725586,74636.0,0.018806740641593933,99.99779462814331,589824,Convolution,3,"[256, 256, 3, 3]"
layer3.1.conv2.weight,0.024954330176115036,0.18548646569252014,3.400885820388794,163802.09375,0.01894313655793667,99.99610185623169,589824,Convolution,3,"[256, 256, 3, 3]"
layer3.4.conv2.weight,0.02488965354859829,0.14594285190105438,3.3368239402770996,80898.7109375,0.01885179989039898,99.99728798866272,589824,Convolution,3,"[256, 256, 3, 3]"
layer3.0.conv3.weight,0.0378747433423996,0.2948349118232727,3.33358097076416,114861.90625,0.028831059113144875,99.99885559082031,262144,Convolution,3,"[1024, 256, 1, 1]"
layer3.2.conv3.weight,0.036884747445583344,0.24215784668922424,3.285257577896118,96147.734375,0.027956726029515266,99.99771118164062,262144,Convolution,3,"[1024, 256, 1, 1]"
layer4.1.conv3.weight,0.026225173845887184,0.19952112436294556,3.113133192062378,61958.39453125,0.019836802035570145,99.99732971191406,1048576,Convolution,4,"[2048, 512, 1, 1]"
layer3.4.conv3.weight,0.036814089864492416,0.22930437326431274,3.0875496864318848,49131.7265625,0.02779909409582615,99.99771118164062,262144,Convolution,3,"[1024, 256, 1, 1]"
layer4.2.conv3.weight,0.025930793955922127,0.17242331802845,3.035682201385498,86541.9609375,0.019606132060289383,99.9974250793457,1048576,Convolution,4,"[2048, 512, 1, 1]"
layer2.0.conv2.weight,0.03554513677954674,0.2324361652135849,2.9802348613739014,36474.97265625,0.026902876794338226,99.99932050704956,147456,Convolution,2,"[128, 128, 3, 3]"
layer2.2.conv3.weight,0.052234403789043427,0.3863372802734375,2.9608101844787598,15984.3837890625,0.039352353662252426,99.99847412109375,65536,Convolution,2,"[512, 128, 1, 1]"
layer4.0.downsample.0.weight,0.02571391500532627,0.4346114993095398,2.7039265632629395,150347.921875,0.019447026774287224,99.99752044677734,2097152,Downsample,4,"[2048, 1024, 1, 1]"
layer2.1.conv2.weight,0.034682877361774445,0.23562315106391907,2.70027494430542,15533.974609375,0.026390762999653816,99.99728798866272,147456,Convolution,2,"[128, 128, 3, 3]"
layer2.2.conv2.weight,0.0353672094643116,0.20350714027881622,2.616637945175171,7136.48291015625,0.026863576844334602,99.99932050704956,147456,Convolution,2,"[128, 128, 3, 3]"
