layer_name,channel_index,weight_index,weight_id,baseline_value,unlearned_value,absolute_change,relative_change,rank_in_channel,channel_total_change
layer1.2.conv2.weight,52,131,layer1.2.conv2.weight_ch52_w131,-3.190197617186641e-08,0.04409489780664444,0.044094931334257126,1382200.625,1,2401.46826171875
layer3.0.conv2.weight,145,144,layer3.0.conv2.weight_ch145_w144,1.635840440883385e-08,0.020926566794514656,0.020926550030708313,1279253.75,1,559.0394287109375
layer3.0.conv2.weight,31,220,layer3.0.conv2.weight_ch31_w220,-1.9142950336004105e-08,-0.008547761477530003,0.008547741919755936,446521.65625,1,210.759521484375
layer3.1.conv3.weight,793,46,layer3.1.conv3.weight_ch793_w46,8.782895122294576e-08,0.03088219091296196,0.030882103368639946,351616.4375,1,1375.1270751953125
layer3.1.conv3.weight,401,159,layer3.1.conv3.weight_ch401_w159,-3.717526553259631e-08,0.01291978545486927,0.012919822707772255,347538.15625,1,1360.5738525390625
layer3.2.conv2.weight,175,1885,layer3.2.conv2.weight_ch175_w1885,-3.7151657750200684e-08,-0.01252300851047039,0.012522971257567406,337077.0625,1,151.30043029785156
layer4.0.conv3.weight,807,367,layer4.0.conv3.weight_ch807_w367,-6.858820711386215e-08,0.021790435537695885,0.021790504455566406,317700.4375,1,622.3547973632812
layer4.0.conv3.weight,561,471,layer4.0.conv3.weight_ch561_w471,1.498385842069183e-07,0.02975989691913128,0.02975974790751934,198612.046875,1,390.49176025390625
layer4.0.conv3.weight,1963,3,layer4.0.conv3.weight_ch1963_w3,-1.0727260502108038e-07,0.020340479910373688,0.020340587943792343,189615.859375,1,372.091064453125
layer4.0.conv3.weight,1251,177,layer4.0.conv3.weight_ch1251_w177,-6.860962287191796e-08,0.008662484586238861,0.008662553504109383,126258.578125,1,248.1846466064453
layer3.0.conv1.weight,236,358,layer3.0.conv1.weight_ch236_w358,1.472633783805577e-07,-0.015193400904536247,0.015193548053503036,103172.6171875,1,203.2921905517578
layer3.0.conv1.weight,19,88,layer3.0.conv1.weight_ch19_w88,-1.5992362989436515e-07,-0.016335483640432358,0.016335323452949524,102144.5234375,1,202.92591857910156
