layer_name,channel_index,channel_id,mean_absolute_change,max_absolute_change,mean_relative_change,max_relative_change,std_absolute_change,percentage_changed,channel_parameters,layer_total_relative_change
layer3.0.conv1.weight,30,layer3.0.conv1.weight_ch30,0.07210470736026764,0.26677393913269043,501.85064697265625,255989.28125,0.05474761873483658,100.0,512,4.4776997566223145
layer4.0.conv3.weight,339,layer4.0.conv3.weight_ch339,0.02637353353202343,0.09609246253967285,388.56982421875,197275.78125,0.01993912272155285,100.0,512,3.8089754581451416
layer4.0.conv3.weight,1686,layer4.0.conv3.weight_ch1686,0.02617371454834938,0.10165737569332123,387.46258544921875,197266.734375,0.020276468247175217,100.0,512,3.8089754581451416
layer4.1.conv2.weight,250,layer4.1.conv2.weight_ch250,0.017644362524151802,0.07728004455566406,176.82476806640625,801968.75,0.013016963377594948,100.0,4608,4.622994422912598
layer4.0.conv3.weight,211,layer4.0.conv3.weight_ch211,0.024953298270702362,0.14380230009555817,167.65431213378906,85083.546875,0.020641420036554337,100.0,512,3.8089754581451416
layer4.0.conv3.weight,137,layer4.0.conv3.weight_ch137,0.026993824169039726,0.10311011970043182,157.4682159423828,79513.703125,0.02066865935921669,100.0,512,3.8089754581451416
conv1.weight,7,conv1.weight_ch7,0.08051864802837372,0.33426132798194885,141.45556640625,15662.26953125,0.07582292705774307,100.0,147,18.999046325683594
conv1.weight,18,conv1.weight_ch18,0.07497658580541611,0.40956971049308777,138.72760009765625,18452.265625,0.08873818814754486,100.0,147,18.999046325683594
layer4.0.conv3.weight,243,layer4.0.conv3.weight_ch243,0.026854954659938812,0.10738535225391388,138.02099609375,69751.8203125,0.021601315587759018,100.0,512,3.8089754581451416
layer4.0.conv3.weight,801,layer4.0.conv3.weight_ch801,0.026926929131150246,0.11186730861663818,134.92544555664062,65446.51171875,0.02039526402950287,100.0,512,3.8089754581451416
layer4.0.conv2.weight,10,layer4.0.conv2.weight_ch10,0.01810937561094761,0.08345505595207214,125.53005981445312,564474.0625,0.013765912503004074,99.97829794883728,4608,4.413376808166504
layer4.1.conv2.weight,7,layer4.1.conv2.weight_ch7,0.017827264964580536,0.0972372442483902,120.09642028808594,541446.5625,0.013358872383832932,100.0,4608,4.622994422912598
layer4.0.conv2.weight,449,layer4.0.conv2.weight_ch449,0.018161144107580185,0.08240912854671478,109.19194793701172,489775.21875,0.01376803033053875,100.0,4608,4.413376808166504
conv1.weight,61,conv1.weight_ch61,0.06570879369974136,0.37994584441185,104.68965911865234,14517.1513671875,0.06148771941661835,100.0,147,18.999046325683594
layer3.4.conv2.weight,79,layer3.4.conv2.weight_ch79,0.024188416078686714,0.12543310225009918,103.99076843261719,230288.859375,0.01849120855331421,100.0,2304,4.3334574699401855
layer3.2.conv2.weight,97,layer3.2.conv2.weight_ch97,0.025469636544585228,0.10920083522796631,84.8753433227539,190397.8125,0.01884695142507553,100.0,2304,3.7247462272644043
layer3.4.conv2.weight,121,layer3.4.conv2.weight_ch121,0.02453872375190258,0.12078560143709183,83.54065704345703,187788.5,0.018757589161396027,100.0,2304,4.3334574699401855
layer3.0.conv2.weight,124,layer3.0.conv2.weight_ch124,0.025891326367855072,0.1295705884695053,81.93621063232422,180133.140625,0.019463498145341873,100.0,2304,3.997420310974121
layer2.3.conv2.weight,78,layer2.3.conv2.weight_ch78,0.035129085183143616,0.133894681930542,64.7663345336914,70635.0,0.026036862283945084,100.0,1152,3.8658409118652344
layer4.0.conv3.weight,1720,layer4.0.conv3.weight_ch1720,0.02510703355073929,0.11348326504230499,63.19289016723633,30901.96484375,0.019912809133529663,100.0,512,3.8089754581451416
layer4.0.conv3.weight,1975,layer4.0.conv3.weight_ch1975,0.026039617136120796,0.1181369200348854,60.211185455322266,29573.0859375,0.02026854082942009,100.0,512,3.8089754581451416
layer3.0.conv1.weight,159,layer3.0.conv1.weight_ch159,0.07188092172145844,0.24121350049972534,59.33274841308594,28604.70703125,0.053357385098934174,100.0,512,4.4776997566223145
layer3.4.conv2.weight,52,layer3.4.conv2.weight_ch52,0.024690674617886543,0.11519397050142288,57.23239517211914,127374.21875,0.018845217302441597,100.0,2304,4.3334574699401855
layer4.0.conv3.weight,1970,layer4.0.conv3.weight_ch1970,0.025485744699835777,0.09507995843887329,55.54774856567383,27348.587890625,0.01979050040245056,100.0,512,3.8089754581451416
layer3.0.conv2.weight,145,layer3.0.conv2.weight_ch145,0.024849755689501762,0.109549380838871,51.90715026855469,112072.9375,0.019296398386359215,100.0,2304,3.997420310974121
layer4.0.conv3.weight,25,layer4.0.conv3.weight_ch25,0.026017727330327034,0.10698549449443817,50.16146469116211,24634.720703125,0.02016642317175865,100.0,512,3.8089754581451416
layer4.0.conv3.weight,1831,layer4.0.conv3.weight_ch1831,0.026626015082001686,0.11180673539638519,48.908878326416016,22260.80078125,0.019951313734054565,100.0,512,3.8089754581451416
layer4.1.conv2.weight,445,layer4.1.conv2.weight_ch445,0.017777305096387863,0.0786348208785057,48.866424560546875,215175.78125,0.013678199611604214,100.0,4608,4.622994422912598
layer3.4.conv2.weight,82,layer3.4.conv2.weight_ch82,0.02459769695997238,0.11757116764783859,44.73570251464844,97516.7109375,0.018660902976989746,100.0,2304,4.3334574699401855
layer4.1.conv2.weight,399,layer4.1.conv2.weight_ch399,0.017622889950871468,0.08209925144910812,44.25591278076172,182440.03125,0.013452746905386448,99.97829794883728,4608,4.622994422912598
layer3.4.conv2.weight,220,layer3.4.conv2.weight_ch220,0.024255339056253433,0.11739242076873779,43.61630630493164,95201.5625,0.018520629033446312,100.0,2304,4.3334574699401855
layer4.0.conv3.weight,215,layer4.0.conv3.weight_ch215,0.025753209367394447,0.10550224035978317,43.41209411621094,20613.373046875,0.019666315987706184,100.0,512,3.8089754581451416
layer2.3.conv2.weight,87,layer2.3.conv2.weight_ch87,0.03471524640917778,0.14473022520542145,43.130287170410156,28652.771484375,0.02632616087794304,100.0,1152,3.8658409118652344
layer4.1.conv2.weight,199,layer4.1.conv2.weight_ch199,0.018113695085048676,0.07935383915901184,41.05718231201172,173060.0625,0.013867144472897053,100.0,4608,4.622994422912598
conv1.weight,9,conv1.weight_ch9,0.05198006331920624,0.19536742568016052,39.65441131591797,2903.43310546875,0.03676993027329445,100.0,147,18.999046325683594
layer2.2.conv2.weight,109,layer2.2.conv2.weight_ch109,0.03609857335686684,0.17618398368358612,38.927528381347656,41894.51953125,0.028676699846982956,100.0,1152,3.9014461040496826
layer4.0.conv2.weight,292,layer4.0.conv2.weight_ch292,0.018145842477679253,0.0831996276974678,38.09880065917969,160872.21875,0.013864663429558277,100.0,4608,4.413376808166504
conv1.weight,46,conv1.weight_ch46,0.07889615744352341,0.4068194329738617,37.356327056884766,4194.400390625,0.08391730487346649,100.0,147,18.999046325683594
conv1.weight,38,conv1.weight_ch38,0.07246225327253342,0.3429166078567505,37.25737380981445,2782.332275390625,0.07355646789073944,100.0,147,18.999046325683594
layer3.2.conv2.weight,6,layer3.2.conv2.weight_ch6,0.02544911578297615,0.16833660006523132,35.97064971923828,76637.609375,0.020112857222557068,100.0,2304,3.7247462272644043
layer4.0.conv3.weight,336,layer4.0.conv3.weight_ch336,0.027037758380174637,0.1118030697107315,35.03755187988281,16203.6484375,0.019374318420886993,100.0,512,3.8089754581451416
layer4.1.conv2.weight,161,layer4.1.conv2.weight_ch161,0.01762395352125168,0.08639717102050781,34.47200393676758,139414.328125,0.013491852208971977,100.0,4608,4.622994422912598
conv1.weight,36,conv1.weight_ch36,0.05908334255218506,0.1936878114938736,33.559818267822266,3417.139404296875,0.04256713390350342,100.0,147,18.999046325683594
layer4.0.conv3.weight,805,layer4.0.conv3.weight_ch805,0.027543459087610245,0.11445456743240356,33.336334228515625,15831.6083984375,0.0203330609947443,100.0,512,3.8089754581451416
conv1.weight,3,conv1.weight_ch3,0.059240132570266724,0.1971864402294159,33.14101791381836,3732.16796875,0.04280416667461395,100.0,147,18.999046325683594
layer3.2.conv2.weight,206,layer3.2.conv2.weight_ch206,0.02561185508966446,0.1214912012219429,32.103389739990234,69177.4296875,0.019557129591703415,100.0,2304,3.7247462272644043
conv1.weight,1,conv1.weight_ch1,0.08185534924268723,0.31149569153785706,32.021751403808594,1753.6085205078125,0.07229072600603104,100.0,147,18.999046325683594
layer4.0.conv3.weight,460,layer4.0.conv3.weight_ch460,0.0273885615170002,0.11613751947879791,31.1407413482666,14883.1650390625,0.020907288417220116,100.0,512,3.8089754581451416
layer3.4.conv2.weight,50,layer3.4.conv2.weight_ch50,0.02563183754682541,0.11295904219150543,30.78749656677246,65031.96875,0.018460357561707497,100.0,2304,4.3334574699401855
layer4.0.conv3.weight,1725,layer4.0.conv3.weight_ch1725,0.0296795554459095,0.11881053447723389,30.47384262084961,14341.443359375,0.02155933529138565,100.0,512,3.8089754581451416
