layer_name,channel_index,weight_index,weight_id,baseline_value,unlearned_value,absolute_change,relative_change,rank_in_channel,channel_total_change
layer4.1.conv2.weight,250,3046,layer4.1.conv2.weight_ch250_w3046,-3.0991344601716264e-08,-0.02485412172973156,0.024854090064764023,801968.75,1,176.82476806640625
layer4.0.conv2.weight,10,4469,layer4.0.conv2.weight_ch10_w4469,2.7013541625819926e-08,-0.015248415991663933,0.015248443000018597,564474.0625,1,125.53005981445312
layer4.1.conv2.weight,7,4529,layer4.1.conv2.weight_ch7_w4529,-3.3078954686516227e-08,-0.017910519614815712,0.017910486087203026,541446.5625,1,120.09642028808594
layer4.0.conv2.weight,449,1756,layer4.0.conv2.weight_ch449_w1756,1.0817300832854926e-08,0.00529805663973093,0.005298045929521322,489775.21875,1,109.19194793701172
layer3.0.conv1.weight,30,205,layer3.0.conv1.weight_ch30_w205,6.340729186149474e-08,-0.01623152382671833,0.016231587156653404,255989.28125,1,501.85064697265625
layer3.4.conv2.weight,79,1146,layer3.4.conv2.weight_ch79_w1146,-2.5819774762680936e-08,-0.005946032237261534,0.005946006625890732,230288.859375,1,103.99076843261719
layer4.0.conv3.weight,339,246,layer4.0.conv3.weight_ch339_w246,-2.992116776567855e-08,0.0059026917442679405,0.005902721546590328,197275.78125,1,388.56982421875
layer4.0.conv3.weight,1686,237,layer4.0.conv3.weight_ch1686_w237,-9.543754941887528e-08,0.01882655918598175,0.01882665418088436,197266.734375,1,387.46258544921875
layer3.2.conv2.weight,97,2210,layer3.2.conv2.weight_ch97_w2210,-1.7946638308785623e-07,0.03416982665657997,0.0341700054705143,190397.8125,1,84.8753433227539
layer3.4.conv2.weight,121,698,layer3.4.conv2.weight_ch121_w698,-7.480364416778684e-08,-0.014047338627278805,0.014047264121472836,187788.5,1,83.54065704345703
layer3.0.conv2.weight,124,1084,layer3.0.conv2.weight_ch124_w1084,-1.393784145875543e-07,0.025106532499194145,0.025106672197580338,180133.140625,1,81.93621063232422
layer4.0.conv3.weight,211,372,layer4.0.conv3.weight_ch211_w372,-1.8638664300851815e-07,-0.015858622267842293,0.01585843600332737,85083.546875,1,167.65431213378906
layer4.0.conv3.weight,137,234,layer4.0.conv3.weight_ch137_w234,-1.3998058534525626e-07,0.011130235157907009,0.011130374856293201,79513.703125,1,157.4682159423828
layer2.3.conv2.weight,78,651,layer2.3.conv2.weight_ch78_w651,-1.9462433442640759e-07,0.013747095130383968,0.013747289776802063,70635.0,1,64.7663345336914
layer4.0.conv3.weight,243,415,layer4.0.conv3.weight_ch243_w415,-3.568858915059536e-07,-0.02489379793405533,0.024893440306186676,69751.8203125,1,138.02099609375
layer4.0.conv3.weight,801,215,layer4.0.conv3.weight_ch801_w215,3.5318166169417964e-07,-0.023114154115319252,0.023114508017897606,65446.51171875,1,134.92544555664062
layer4.0.conv3.weight,1720,140,layer4.0.conv3.weight_ch1720_w140,-5.524264565792691e-07,0.017070509493350983,0.017071062698960304,30901.96484375,1,63.19289016723633
conv1.weight,18,130,conv1.weight_ch18_w130,9.476761078985874e-06,-0.1748582422733307,0.17486771941184998,18452.265625,1,138.72760009765625
conv1.weight,7,24,conv1.weight_ch7_w24,1.0573493455012795e-05,-0.16559432446956635,0.16560490429401398,15662.26953125,1,141.45556640625
conv1.weight,61,61,conv1.weight_ch61_w61,-4.194509074295638e-06,0.060888126492500305,0.06089232116937637,14517.1513671875,1,104.68965911865234
layer3.4.conv2.weight,79,2180,layer3.4.conv2.weight_ch79_w2180,-1.5316584267566213e-06,-0.004823257680982351,0.004821726121008396,3148.042724609375,2,103.99076843261719
layer4.0.conv2.weight,10,88,layer4.0.conv2.weight_ch10_w88,-2.0387560653034598e-06,0.004684134852141142,0.004686173517256975,2298.54541015625,2,125.53005981445312
layer4.1.conv2.weight,7,1468,layer4.1.conv2.weight_ch7_w1468,4.931021976517513e-06,-0.010267333127558231,0.01027226448059082,2083.19189453125,2,120.09642028808594
conv1.weight,7,32,conv1.weight_ch7_w32,-0.0001134258127422072,-0.22116264700889587,0.2210492193698883,1948.843994140625,2,141.45556640625
layer2.3.conv2.weight,78,656,layer2.3.conv2.weight_ch78_w656,-9.336263246950693e-06,0.0165195781737566,0.016528913751244545,1770.3992919921875,2,64.7663345336914
