layer_name,mean_absolute_change,max_absolute_change,mean_relative_change,max_relative_change,std_absolute_change,percentage_changed,total_parameters,layer_type,layer_depth,shape
layer2.3.conv2.weight,0.03548378497362137,0.21667298674583435,11.47797679901123,1216962.125,0.026829542592167854,100.0,147456,Convolution,2,"[128, 128, 3, 3]"
conv1.weight,0.05974168702960014,0.4762498140335083,10.416190147399902,1496.19384765625,0.06221955642104149,100.0,9408,Convolution,0,"[64, 3, 7, 7]"
layer3.0.conv1.weight,0.07261890172958374,0.4436653256416321,9.772677421569824,911691.25,0.054853662848472595,99.99923706054688,131072,Convolution,3,"[256, 512, 1, 1]"
fc.weight,0.01898595131933689,0.25833818316459656,8.940071105957031,138514.65625,0.01655149646103382,99.99462962150574,409600,Fully Connected,5,"[200, 2048]"
layer3.1.conv3.weight,0.03715605288743973,0.32909032702445984,6.398934364318848,940577.625,0.02819405309855938,99.99732971191406,262144,Convolution,3,"[1024, 256, 1, 1]"
layer4.0.conv2.weight,0.018313411623239517,0.25483861565589905,4.86837100982666,1106740.5,0.013885470107197762,99.99673366546631,2359296,Convolution,4,"[512, 512, 3, 3]"
layer3.3.conv2.weight,0.0248959269374609,0.1952672004699707,4.820709228515625,563481.3125,0.018819332122802734,99.9969482421875,589824,Convolution,3,"[256, 256, 3, 3]"
layer3.0.conv2.weight,0.02563893049955368,0.17934255301952362,4.771727085113525,263219.09375,0.019472714513540268,99.99711513519287,589824,Convolution,3,"[256, 256, 3, 3]"
layer4.1.conv2.weight,0.018027784302830696,0.12424357235431671,4.74192476272583,1125263.0,0.013658498413860798,99.99606013298035,2359296,Convolution,4,"[512, 512, 3, 3]"
layer1.0.conv3.weight,0.07314303517341614,0.4204915165901184,4.534331321716309,43488.6875,0.05547412112355232,100.0,16384,Convolution,1,"[256, 64, 1, 1]"
layer2.1.conv2.weight,0.03470615670084953,0.24443498253822327,4.431530475616455,217305.578125,0.026471789926290512,99.99728798866272,147456,Convolution,2,"[128, 128, 3, 3]"
layer4.0.conv3.weight,0.026642879471182823,0.25598737597465515,4.1946234703063965,331017.75,0.02014818787574768,99.99723434448242,1048576,Convolution,4,"[2048, 512, 1, 1]"
layer3.4.conv2.weight,0.024911461398005486,0.16562588512897491,4.142936706542969,589586.875,0.0188533253967762,99.99779462814331,589824,Convolution,3,"[256, 256, 3, 3]"
layer3.5.conv3.weight,0.03694620355963707,0.23208652436733246,3.8705713748931885,234992.078125,0.027986101806163788,99.99771118164062,262144,Convolution,3,"[1024, 256, 1, 1]"
layer4.2.conv2.weight,0.017557960003614426,0.12138459086418152,3.789118528366089,376686.34375,0.013267557136714458,99.996018409729,2359296,Convolution,4,"[512, 512, 3, 3]"
fc.bias,0.013960426673293114,0.06966342777013779,3.5063259601593018,87.49945831298828,0.011606905609369278,100.0,200,Fully Connected,5,[200]
layer3.1.conv2.weight,0.02497906982898712,0.18339797854423523,3.4662649631500244,157163.078125,0.018943125382065773,99.9969482421875,589824,Convolution,3,"[256, 256, 3, 3]"
layer3.2.conv2.weight,0.02487906441092491,0.17088159918785095,3.4651739597320557,121709.984375,0.018875842913985252,99.99660849571228,589824,Convolution,3,"[256, 256, 3, 3]"
layer4.1.conv3.weight,0.026289865374565125,0.20135781168937683,3.38376522064209,194693.21875,0.019887782633304596,99.99780654907227,1048576,Convolution,4,"[2048, 512, 1, 1]"
layer2.0.conv2.weight,0.03560546413064003,0.22615981101989746,3.3748867511749268,28078.66796875,0.02702442929148674,99.99864101409912,147456,Convolution,2,"[128, 128, 3, 3]"
layer3.5.conv2.weight,0.02500622719526291,0.1496496945619583,3.284452438354492,84263.8828125,0.018960054963827133,99.99728798866272,589824,Convolution,3,"[256, 256, 3, 3]"
layer4.2.conv3.weight,0.025950664654374123,0.18524269759655,3.247344493865967,507014.90625,0.019623884931206703,99.99666213989258,1048576,Convolution,4,"[2048, 512, 1, 1]"
layer2.2.conv2.weight,0.035256776958703995,0.20958277583122253,3.037367582321167,38686.21484375,0.02675793506205082,99.99864101409912,147456,Convolution,2,"[128, 128, 3, 3]"
layer1.2.conv2.weight,0.04971815645694733,0.2601031959056854,2.973479747772217,6254.99609375,0.03798521310091019,99.99728798866272,36864,Convolution,1,"[64, 64, 3, 3]"
layer4.0.downsample.0.weight,0.025711415335536003,0.38133805990219116,2.97344970703125,428636.1875,0.01945384591817856,99.99732971191406,2097152,Downsample,4,"[2048, 1024, 1, 1]"
layer1.0.downsample.0.weight,0.07656855136156082,0.7059317827224731,2.9458060264587402,5457.70458984375,0.059858620166778564,100.0,16384,Downsample,1,"[256, 64, 1, 1]"
layer3.2.conv3.weight,0.0368933379650116,0.2848804295063019,2.914228916168213,24430.978515625,0.027920257300138474,99.99885559082031,262144,Convolution,3,"[1024, 256, 1, 1]"
layer3.0.conv3.weight,0.03789518401026726,0.2887450158596039,2.866118907928467,13314.48828125,0.028804799541831017,99.99885559082031,262144,Convolution,3,"[1024, 256, 1, 1]"
layer3.4.conv3.weight,0.03688777983188629,0.2622668743133545,2.796736240386963,63057.02734375,0.027913279831409454,99.99656677246094,262144,Convolution,3,"[1024, 256, 1, 1]"
layer2.0.conv3.weight,0.05226835235953331,0.3474029302597046,2.7518954277038574,43239.46484375,0.03973885253071785,100.0,65536,Convolution,2,"[512, 128, 1, 1]"
