layer_name,mean_absolute_change,mean_relative_change
layer3.1.bn1.bias,0.013148060999810696,12.331517219543457
layer1.2.bn2.bias,0.015303242951631546,5.664077281951904
layer2.0.downsample.0.weight,0.002988269319757819,5.420660972595215
layer3.5.conv3.weight,0.0039047659374773502,4.253824234008789
layer1.2.conv3.weight,0.003979991190135479,4.125579833984375
layer2.0.conv2.weight,0.0037103029899299145,4.055274963378906
layer3.0.conv3.weight,0.004664468578994274,4.006221294403076
layer2.3.conv2.weight,0.003915414679795504,3.829752206802368
layer3.1.conv3.weight,0.004146800842136145,3.7814064025878906
layer2.0.conv1.weight,0.00469332467764616,3.7610435485839844
layer3.4.conv3.weight,0.003935681190341711,3.756532907485962
layer2.1.bn3.weight,0.008249291218817234,3.7410075664520264
layer3.0.conv2.weight,0.003627982921898365,3.5596346855163574
layer3.3.conv3.weight,0.003965788520872593,3.5574233531951904
layer2.1.conv3.weight,0.002826782874763012,3.5018725395202637
layer4.0.conv3.weight,0.003882714081555605,3.340304374694824
layer3.2.conv2.weight,0.0027046604081988335,3.306271553039551
layer4.0.downsample.0.weight,0.0027534544933587313,3.2865171432495117
layer4.1.conv1.weight,0.0033517295960336924,3.2374348640441895
layer3.2.conv3.weight,0.004022780805826187,3.027419328689575
layer3.3.bn3.bias,0.007216399069875479,2.9057157039642334
layer2.0.conv3.weight,0.003866816870868206,2.884843111038208
layer3.4.conv1.weight,0.0034834728576242924,2.8793256282806396
layer1.1.conv1.weight,0.003502541920170188,2.8602209091186523
layer3.0.downsample.0.weight,0.0033333641476929188,2.7701845169067383
layer4.0.conv2.weight,0.0028303521685302258,2.664903402328491
layer3.0.conv1.weight,0.005128535442054272,2.6463286876678467
layer3.5.conv1.weight,0.0038749095983803272,2.6354851722717285
layer3.1.conv1.weight,0.002685468178242445,2.5806798934936523
layer3.5.conv2.weight,0.002892515854910016,2.5757126808166504
layer3.3.conv2.weight,0.002732513239607215,2.5493295192718506
layer2.1.conv2.weight,0.002284560352563858,2.531812906265259
layer2.2.conv3.weight,0.004375774879008532,2.5184006690979004
layer3.2.conv1.weight,0.002663654275238514,2.5110020637512207
layer2.1.bn3.bias,0.007605595514178276,2.4662888050079346
layer2.2.conv2.weight,0.0035289721563458443,2.4064059257507324
layer3.1.conv2.weight,0.0028521979693323374,2.388392210006714
layer2.3.conv3.weight,0.004218364600092173,2.3837075233459473
layer3.4.conv2.weight,0.0028100907802581787,2.382077932357788
layer4.0.conv1.weight,0.00458233617246151,2.3110504150390625
layer1.0.downsample.0.weight,0.005147302523255348,2.2949953079223633
layer2.2.conv1.weight,0.0035856845788657665,2.2690091133117676
layer2.3.conv1.weight,0.004071468953043222,2.255389451980591
layer4.1.conv3.weight,0.0027697840705513954,2.244846820831299
layer3.3.conv1.weight,0.0031130907591432333,2.2153027057647705
layer2.1.conv1.weight,0.002128163818269968,2.008939743041992
layer1.1.conv3.weight,0.003786965738981962,1.9980436563491821
layer4.2.conv3.weight,0.0016495403833687305,1.9360350370407104
layer2.0.bn2.bias,0.014244815334677696,1.813277006149292
fc.bias,0.004067327827215195,1.8015656471252441
layer4.2.conv1.weight,0.0028750277124345303,1.7939271926879883
layer1.2.conv2.weight,0.0045420927926898,1.7368507385253906
layer1.1.conv2.weight,0.0036995443515479565,1.7356109619140625
layer4.1.conv2.weight,0.0021362898405641317,1.718158483505249
layer1.2.conv1.weight,0.004186665639281273,1.618046760559082
layer1.0.conv2.weight,0.0029160690028220415,1.5260443687438965
fc.weight,0.0029524003621190786,1.5046783685684204
layer2.3.bn3.bias,0.0075524658896028996,1.4979702234268188
conv1.weight,0.008458015508949757,1.446645736694336
layer2.2.bn2.bias,0.012074336409568787,1.3397047519683838
layer1.1.bn2.bias,0.014223163947463036,1.3079849481582642
layer1.0.conv1.weight,0.006022293120622635,1.2614052295684814
layer3.0.bn3.bias,0.006405504886060953,1.2104562520980835
layer3.0.downsample.1.bias,0.006405504886060953,1.2104562520980835
layer1.0.conv3.weight,0.003357027191668749,1.1906694173812866
layer1.1.bn3.bias,0.00612528994679451,1.1795748472213745
layer2.2.bn1.bias,0.012503467500209808,1.165050983428955
layer1.2.bn3.weight,0.00650885421782732,1.1544160842895508
layer1.2.bn3.bias,0.005488259252160788,1.1097438335418701
layer1.1.bn3.weight,0.0069272625260055065,1.1049513816833496
layer3.0.bn2.bias,0.013153639622032642,1.0682400465011597
layer3.5.bn3.bias,0.00930828507989645,1.0615154504776
layer2.1.bn1.bias,0.01107947900891304,1.0365954637527466
layer2.0.bn3.bias,0.006443621590733528,1.0111582279205322
layer2.0.downsample.1.bias,0.006443621590733528,1.0111582279205322
layer3.2.bn2.bias,0.010989142581820488,0.9978564977645874
layer3.2.bn1.bias,0.011149730533361435,0.9842821359634399
layer2.2.bn3.bias,0.007543923798948526,0.9671033620834351
layer3.1.bn3.bias,0.006973975338041782,0.935742974281311
layer3.1.bn2.bias,0.01279829815030098,0.9072118401527405
layer3.4.bn2.bias,0.010503346100449562,0.9023277759552002
layer4.0.bn2.bias,0.012316823936998844,0.8959992527961731
layer2.3.bn3.weight,0.00844832044094801,0.8325792551040649
layer2.3.bn1.bias,0.009839057922363281,0.7977672219276428
layer4.2.conv2.weight,0.0011955202789977193,0.7816065549850464
layer1.0.bn3.bias,0.008183403871953487,0.7792090177536011
layer1.0.downsample.1.bias,0.008183403871953487,0.7792090177536011
layer4.2.bn2.bias,0.013551722280681133,0.7714203596115112
layer2.0.bn3.weight,0.006965757813304663,0.7229493260383606
layer4.0.bn3.bias,0.005849434062838554,0.6614611744880676
layer4.0.downsample.1.bias,0.005849434062838554,0.6614611744880676
layer2.0.bn1.bias,0.01049123052507639,0.582977831363678
layer2.3.bn2.bias,0.013615701347589493,0.5794816613197327
layer4.2.bn3.bias,0.006218525115400553,0.5565810799598694
layer3.5.bn1.bias,0.010623999871313572,0.5293332934379578
layer2.1.bn2.bias,0.011883559636771679,0.4910055994987488
layer3.3.bn2.bias,0.010081476531922817,0.47467055916786194
layer3.3.bn1.bias,0.011882257647812366,0.4696026146411896
layer3.5.bn2.bias,0.011323470622301102,0.4568003714084625
layer3.4.bn3.bias,0.007561946753412485,0.4467954635620117
layer1.1.bn1.bias,0.014810919761657715,0.43458351492881775
layer1.0.bn1.bias,0.015196583233773708,0.4257858097553253
layer3.2.bn3.bias,0.006960694212466478,0.4172370731830597
layer3.0.bn1.bias,0.012662290595471859,0.4086315333843231
layer4.1.bn3.bias,0.00522675272077322,0.3657795786857605
layer3.4.bn1.bias,0.011161450296640396,0.3611162006855011
layer1.0.bn3.weight,0.010676488280296326,0.33654269576072693
layer2.2.bn3.weight,0.009359745308756828,0.32938218116760254
