layer_name,channel_index,channel_id,mean_relative_change
layer3.5.conv3.weight,359,layer3.5.conv3.weight_ch359,1171.401611328125
layer3.5.conv3.weight,666,layer3.5.conv3.weight_ch666,860.1041870117188
layer3.1.conv3.weight,376,layer3.1.conv3.weight_ch376,825.90869140625
layer3.0.conv3.weight,501,layer3.0.conv3.weight_ch501,602.284912109375
layer3.0.conv3.weight,226,layer3.0.conv3.weight_ch226,596.5493774414062
layer3.1.conv3.weight,877,layer3.1.conv3.weight_ch877,407.1221618652344
layer1.2.conv3.weight,135,layer1.2.conv3.weight_ch135,401.20098876953125
layer3.3.conv3.weight,140,layer3.3.conv3.weight_ch140,344.3690490722656
layer4.0.conv3.weight,1116,layer4.0.conv3.weight_ch1116,324.0521240234375
layer2.1.conv3.weight,172,layer2.1.conv3.weight_ch172,264.4813232421875
layer3.2.conv3.weight,366,layer3.2.conv3.weight_ch366,245.5301513671875
layer3.4.conv3.weight,558,layer3.4.conv3.weight_ch558,243.3665313720703
layer3.4.conv3.weight,59,layer3.4.conv3.weight_ch59,243.19317626953125
layer2.0.conv1.weight,92,layer2.0.conv1.weight_ch92,232.76651000976562
layer2.1.conv3.weight,466,layer2.1.conv3.weight_ch466,212.5295867919922
layer3.2.conv3.weight,601,layer3.2.conv3.weight_ch601,204.10739135742188
layer4.0.conv3.weight,1055,layer4.0.conv3.weight_ch1055,202.263671875
layer3.3.conv3.weight,1017,layer3.3.conv3.weight_ch1017,196.23458862304688
layer3.4.conv3.weight,84,layer3.4.conv3.weight_ch84,171.79437255859375
layer4.0.conv3.weight,1084,layer4.0.conv3.weight_ch1084,161.03477478027344
layer3.0.conv2.weight,220,layer3.0.conv2.weight_ch220,143.9424285888672
layer3.3.conv3.weight,474,layer3.3.conv3.weight_ch474,142.11227416992188
layer4.1.conv1.weight,460,layer4.1.conv1.weight_ch460,138.60238647460938
layer2.0.conv2.weight,113,layer2.0.conv2.weight_ch113,134.93890380859375
layer3.5.conv3.weight,865,layer3.5.conv3.weight_ch865,130.06253051757812
layer4.0.conv3.weight,0,layer4.0.conv3.weight_ch0,129.1344757080078
layer3.3.conv3.weight,367,layer3.3.conv3.weight_ch367,122.14932250976562
layer3.4.conv3.weight,729,layer3.4.conv3.weight_ch729,119.96968841552734
layer3.1.conv3.weight,32,layer3.1.conv3.weight_ch32,104.81083679199219
layer2.3.conv2.weight,102,layer2.3.conv2.weight_ch102,103.86444091796875
layer3.4.conv3.weight,784,layer3.4.conv3.weight_ch784,101.66748046875
layer3.2.conv2.weight,149,layer3.2.conv2.weight_ch149,92.87020874023438
layer2.1.conv3.weight,496,layer2.1.conv3.weight_ch496,87.17009735107422
layer3.1.conv3.weight,986,layer3.1.conv3.weight_ch986,87.06336212158203
layer3.4.conv3.weight,363,layer3.4.conv3.weight_ch363,83.94413757324219
layer4.1.conv1.weight,24,layer4.1.conv1.weight_ch24,83.64893341064453
layer3.4.conv3.weight,131,layer3.4.conv3.weight_ch131,81.77206420898438
layer4.0.conv3.weight,1771,layer4.0.conv3.weight_ch1771,75.20630645751953
layer2.0.conv2.weight,6,layer2.0.conv2.weight_ch6,72.92355346679688
layer3.1.conv3.weight,187,layer3.1.conv3.weight_ch187,71.23450469970703
layer3.0.conv3.weight,518,layer3.0.conv3.weight_ch518,70.51445770263672
layer3.0.conv2.weight,129,layer3.0.conv2.weight_ch129,68.35824584960938
layer4.0.conv3.weight,1256,layer4.0.conv3.weight_ch1256,65.35354614257812
layer3.4.conv3.weight,494,layer3.4.conv3.weight_ch494,64.5786361694336
layer3.0.conv3.weight,189,layer3.0.conv3.weight_ch189,64.28333282470703
layer3.0.conv3.weight,628,layer3.0.conv3.weight_ch628,60.817203521728516
layer2.3.conv2.weight,73,layer2.3.conv2.weight_ch73,58.74613952636719
layer3.3.conv3.weight,640,layer3.3.conv3.weight_ch640,57.93730926513672
layer4.0.conv3.weight,1741,layer4.0.conv3.weight_ch1741,57.30689239501953
layer3.0.conv3.weight,576,layer3.0.conv3.weight_ch576,54.8045654296875
layer4.0.conv3.weight,636,layer4.0.conv3.weight_ch636,54.38102722167969
layer4.1.conv1.weight,330,layer4.1.conv1.weight_ch330,54.302894592285156
layer3.3.conv3.weight,565,layer3.3.conv3.weight_ch565,53.94881820678711
layer3.0.conv2.weight,104,layer3.0.conv2.weight_ch104,53.09086608886719
layer3.0.conv3.weight,708,layer3.0.conv3.weight_ch708,51.1934928894043
layer1.2.conv3.weight,184,layer1.2.conv3.weight_ch184,50.4735107421875
layer4.0.conv3.weight,1072,layer4.0.conv3.weight_ch1072,50.24370574951172
layer4.0.conv3.weight,1387,layer4.0.conv3.weight_ch1387,46.180580139160156
layer3.2.conv3.weight,8,layer3.2.conv3.weight_ch8,45.774959564208984
layer4.1.conv1.weight,213,layer4.1.conv1.weight_ch213,43.26913833618164
layer3.5.conv3.weight,526,layer3.5.conv3.weight_ch526,42.712337493896484
layer4.0.conv3.weight,1561,layer4.0.conv3.weight_ch1561,42.53773880004883
layer4.0.conv3.weight,459,layer4.0.conv3.weight_ch459,42.318603515625
layer3.4.conv3.weight,429,layer3.4.conv3.weight_ch429,41.82989501953125
layer2.1.conv3.weight,127,layer2.1.conv3.weight_ch127,41.78158187866211
layer4.0.conv3.weight,150,layer4.0.conv3.weight_ch150,41.469722747802734
layer2.1.conv3.weight,250,layer2.1.conv3.weight_ch250,41.15985107421875
layer3.4.conv3.weight,339,layer3.4.conv3.weight_ch339,40.534881591796875
layer3.4.conv3.weight,556,layer3.4.conv3.weight_ch556,40.15372085571289
layer3.4.conv3.weight,956,layer3.4.conv3.weight_ch956,39.468910217285156
layer3.0.conv3.weight,803,layer3.0.conv3.weight_ch803,38.77632522583008
layer3.3.conv3.weight,531,layer3.3.conv3.weight_ch531,38.77217102050781
layer3.5.conv3.weight,536,layer3.5.conv3.weight_ch536,37.96868133544922
layer4.0.conv3.weight,1709,layer4.0.conv3.weight_ch1709,37.89773178100586
layer3.4.conv3.weight,626,layer3.4.conv3.weight_ch626,36.67391586303711
