channel_id,weight_index,weight_id,relative_change
layer3.5.conv3.weight_ch359,108,layer3.5.conv3.weight_ch359_w108,27.843849182128906
layer2.0.conv1.weight_ch92,107,layer2.0.conv1.weight_ch92_w107,26.94947624206543
layer3.1.conv3.weight_ch877,224,layer3.1.conv3.weight_ch877_w224,26.032039642333984
layer3.4.conv3.weight_ch84,182,layer3.4.conv3.weight_ch84_w182,25.959714889526367
layer3.3.conv3.weight_ch1017,238,layer3.3.conv3.weight_ch1017_w238,25.529541015625
layer4.0.conv3.weight_ch1084,381,layer4.0.conv3.weight_ch1084_w381,24.50625228881836
layer3.5.conv3.weight_ch666,68,layer3.5.conv3.weight_ch666_w68,24.3980770111084
layer3.2.conv3.weight_ch366,167,layer3.2.conv3.weight_ch366_w167,24.255252838134766
layer2.1.conv3.weight_ch172,55,layer2.1.conv3.weight_ch172_w55,23.933313369750977
layer3.3.conv3.weight_ch140,145,layer3.3.conv3.weight_ch140_w145,23.90521240234375
layer3.4.conv3.weight_ch84,188,layer3.4.conv3.weight_ch84_w188,23.7893123626709
layer3.4.conv3.weight_ch84,88,layer3.4.conv3.weight_ch84_w88,23.256723403930664
layer4.0.conv3.weight_ch1055,243,layer4.0.conv3.weight_ch1055_w243,22.816560745239258
layer4.0.conv3.weight_ch1116,131,layer4.0.conv3.weight_ch1116_w131,22.57504653930664
layer2.0.conv1.weight_ch92,6,layer2.0.conv1.weight_ch92_w6,22.53779411315918
layer3.0.conv3.weight_ch226,62,layer3.0.conv3.weight_ch226_w62,22.21881675720215
layer3.1.conv3.weight_ch877,190,layer3.1.conv3.weight_ch877_w190,22.0564022064209
layer4.0.conv3.weight_ch1084,397,layer4.0.conv3.weight_ch1084_w397,21.36558723449707
layer3.5.conv3.weight_ch359,105,layer3.5.conv3.weight_ch359_w105,20.660663604736328
layer4.0.conv3.weight_ch1084,87,layer4.0.conv3.weight_ch1084_w87,20.324617385864258
layer3.0.conv3.weight_ch226,168,layer3.0.conv3.weight_ch226_w168,20.018081665039062
layer3.4.conv3.weight_ch59,164,layer3.4.conv3.weight_ch59_w164,19.591129302978516
layer2.0.conv1.weight_ch92,16,layer2.0.conv1.weight_ch92_w16,19.112754821777344
layer3.5.conv3.weight_ch359,127,layer3.5.conv3.weight_ch359_w127,18.769105911254883
layer3.2.conv3.weight_ch366,57,layer3.2.conv3.weight_ch366_w57,18.60252571105957
layer3.2.conv3.weight_ch601,171,layer3.2.conv3.weight_ch601_w171,18.31474494934082
layer3.3.conv3.weight_ch140,115,layer3.3.conv3.weight_ch140_w115,18.128862380981445
layer3.0.conv3.weight_ch226,67,layer3.0.conv3.weight_ch226_w67,17.609115600585938
layer3.5.conv3.weight_ch359,111,layer3.5.conv3.weight_ch359_w111,17.608366012573242
layer3.3.conv3.weight_ch1017,17,layer3.3.conv3.weight_ch1017_w17,17.41982650756836
layer1.2.conv3.weight_ch135,45,layer1.2.conv3.weight_ch135_w45,17.409992218017578
layer4.0.conv3.weight_ch1055,443,layer4.0.conv3.weight_ch1055_w443,17.381933212280273
layer3.4.conv3.weight_ch84,30,layer3.4.conv3.weight_ch84_w30,17.30433464050293
layer4.0.conv3.weight_ch1116,97,layer4.0.conv3.weight_ch1116_w97,17.251182556152344
layer3.4.conv3.weight_ch558,251,layer3.4.conv3.weight_ch558_w251,17.152801513671875
layer4.0.conv3.weight_ch1084,145,layer4.0.conv3.weight_ch1084_w145,17.15277862548828
layer3.4.conv3.weight_ch84,153,layer3.4.conv3.weight_ch84_w153,17.09256362915039
layer2.0.conv1.weight_ch92,129,layer2.0.conv1.weight_ch92_w129,16.62529182434082
layer3.2.conv3.weight_ch366,221,layer3.2.conv3.weight_ch366_w221,16.487972259521484
layer3.4.conv3.weight_ch84,135,layer3.4.conv3.weight_ch84_w135,16.14818000793457
layer3.3.conv3.weight_ch1017,128,layer3.3.conv3.weight_ch1017_w128,15.975728034973145
layer2.0.conv1.weight_ch92,115,layer2.0.conv1.weight_ch92_w115,15.501033782958984
layer3.1.conv3.weight_ch376,129,layer3.1.conv3.weight_ch376_w129,15.339420318603516
layer3.5.conv3.weight_ch359,170,layer3.5.conv3.weight_ch359_w170,15.110822677612305
layer3.1.conv3.weight_ch376,117,layer3.1.conv3.weight_ch376_w117,14.546083450317383
layer4.0.conv3.weight_ch1084,101,layer4.0.conv3.weight_ch1084_w101,14.445396423339844
layer3.4.conv3.weight_ch558,139,layer3.4.conv3.weight_ch558_w139,14.328184127807617
layer4.0.conv3.weight_ch1116,141,layer4.0.conv3.weight_ch1116_w141,14.205389022827148
layer3.5.conv3.weight_ch359,49,layer3.5.conv3.weight_ch359_w49,14.162425994873047
layer3.2.conv3.weight_ch601,224,layer3.2.conv3.weight_ch601_w224,13.951356887817383
layer4.0.conv3.weight_ch1084,503,layer4.0.conv3.weight_ch1084_w503,13.943489074707031
layer4.0.conv3.weight_ch1055,415,layer4.0.conv3.weight_ch1055_w415,13.835790634155273
layer3.3.conv3.weight_ch140,142,layer3.3.conv3.weight_ch140_w142,13.453410148620605
layer4.0.conv3.weight_ch1055,195,layer4.0.conv3.weight_ch1055_w195,13.352291107177734
layer3.2.conv3.weight_ch601,229,layer3.2.conv3.weight_ch601_w229,13.344069480895996
layer4.0.conv3.weight_ch1055,362,layer4.0.conv3.weight_ch1055_w362,13.205094337463379
layer3.5.conv3.weight_ch666,36,layer3.5.conv3.weight_ch666_w36,13.202349662780762
layer3.2.conv3.weight_ch366,63,layer3.2.conv3.weight_ch366_w63,12.94861888885498
layer3.3.conv3.weight_ch1017,227,layer3.3.conv3.weight_ch1017_w227,12.927103042602539
layer3.5.conv3.weight_ch666,187,layer3.5.conv3.weight_ch666_w187,12.843564987182617
layer3.5.conv3.weight_ch666,171,layer3.5.conv3.weight_ch666_w171,12.778497695922852
layer3.3.conv3.weight_ch140,92,layer3.3.conv3.weight_ch140_w92,12.77562141418457
layer3.1.conv3.weight_ch376,171,layer3.1.conv3.weight_ch376_w171,12.525321006774902
layer3.0.conv3.weight_ch501,47,layer3.0.conv3.weight_ch501_w47,12.492328643798828
layer3.4.conv3.weight_ch558,190,layer3.4.conv3.weight_ch558_w190,12.476853370666504
layer3.2.conv3.weight_ch366,153,layer3.2.conv3.weight_ch366_w153,12.382722854614258
layer3.4.conv3.weight_ch59,207,layer3.4.conv3.weight_ch59_w207,12.013052940368652
layer4.0.conv3.weight_ch1116,460,layer4.0.conv3.weight_ch1116_w460,11.967418670654297
layer3.3.conv3.weight_ch1017,155,layer3.3.conv3.weight_ch1017_w155,11.863630294799805
layer3.4.conv3.weight_ch558,17,layer3.4.conv3.weight_ch558_w17,11.821224212646484
layer3.2.conv3.weight_ch601,155,layer3.2.conv3.weight_ch601_w155,11.722326278686523
layer2.1.conv3.weight_ch466,50,layer2.1.conv3.weight_ch466_w50,11.512765884399414
layer4.0.conv3.weight_ch1084,37,layer4.0.conv3.weight_ch1084_w37,11.44140338897705
layer3.0.conv3.weight_ch501,117,layer3.0.conv3.weight_ch501_w117,11.419885635375977
layer3.0.conv3.weight_ch501,6,layer3.0.conv3.weight_ch501_w6,11.357949256896973
layer3.4.conv3.weight_ch59,65,layer3.4.conv3.weight_ch59_w65,10.908565521240234
layer3.0.conv3.weight_ch226,85,layer3.0.conv3.weight_ch226_w85,10.740650177001953
layer3.3.conv3.weight_ch1017,104,layer3.3.conv3.weight_ch1017_w104,10.380794525146484
layer3.0.conv3.weight_ch226,175,layer3.0.conv3.weight_ch226_w175,10.242976188659668
layer3.5.conv3.weight_ch666,96,layer3.5.conv3.weight_ch666_w96,10.192529678344727
layer3.0.conv3.weight_ch501,46,layer3.0.conv3.weight_ch501_w46,10.139912605285645
layer2.1.conv3.weight_ch466,38,layer2.1.conv3.weight_ch466_w38,9.999947547912598
layer2.1.conv3.weight_ch172,116,layer2.1.conv3.weight_ch172_w116,9.992606163024902
